hour;nb_data;min;max;mean;std;sum;Q1;median;Q3;taux_dispo;taux_occ;penurie;taux_penurie
0;14371;0.0;8.0;3.7;1.9;53127.0;2.0;3.0;5.0;46.21;53.79;489;3.4026859647902024
1;14398;0.0;8.0;3.8;1.9;54065.0;2.0;3.0;5.0;46.94;53.06;386;2.680927906653702
2;14462;0.0;8.0;3.8;1.8;54802.0;2.0;3.0;5.0;47.37;52.63;328;2.268012722998202
3;14368;0.0;8.0;3.8;1.8;54939.0;2.0;4.0;5.0;47.8;52.2;243;1.691258351893096
4;14395;0.0;8.0;3.8;1.9;54649.0;2.0;4.0;5.0;47.45;52.55;294;2.042375824939215
5;14415;0.0;8.0;3.8;1.9;54576.0;2.0;4.0;5.0;47.33;52.67;300;2.081165452653486
6;14454;0.0;8.0;3.8;1.9;54559.0;2.0;4.0;5.0;47.18;52.82;300;2.0755500207555
7;14396;0.0;8.0;3.8;1.9;54311.0;2.0;4.0;5.0;47.16;52.84;325;2.2575715476521254
8;14322;0.0;8.0;3.7;1.9;53470.0;2.0;4.0;5.0;46.67;53.33;338;2.3600055858120377
9;14283;0.0;8.0;3.7;1.9;52435.0;2.0;3.0;5.0;45.89;54.11;544;3.808723657494924
10;14496;0.0;8.0;3.6;1.9;52586.0;2.0;3.0;5.0;45.35;54.65;695;4.794426048565121
11;14588;0.0;8.0;3.6;1.9;52186.0;2.0;3.0;5.0;44.72;55.28;664;4.55168631752125
12;14569;0.0;8.0;3.5;1.9;51294.0;2.0;3.0;5.0;44.01;55.99;607;4.166380671288352
13;14520;0.0;8.0;3.5;1.8;50523.0;2.0;3.0;5.0;43.49;56.51;348;2.396694214876033
14;14501;0.0;8.0;3.4;1.8;50027.0;2.0;3.0;5.0;43.12;56.88;356;2.45500310323426
15;14418;0.0;8.0;3.4;1.8;48791.0;2.0;3.0;5.0;42.3;57.7;511;3.544180885004855
16;14400;0.0;8.0;3.4;1.9;48249.0;2.0;3.0;5.0;41.88;58.12;565;3.923611111111111
17;14449;0.0;8.0;3.4;1.9;49221.0;2.0;3.0;5.0;42.58;57.42;551;3.813412692919925
18;14447;0.0;8.0;3.4;1.8;49262.0;2.0;3.0;5.0;42.62;57.38;565;3.9108465425347823
19;14460;0.0;8.0;3.4;1.9;49009.0;2.0;3.0;5.0;42.37;57.63;711;4.91701244813278
20;14514;0.0;8.0;3.5;1.9;50847.0;2.0;3.0;5.0;43.79;56.21;589;4.058150750999035
21;14510;0.0;8.0;3.6;1.9;51639.0;2.0;3.0;5.0;44.49;55.51;585;4.031702274293591
22;14506;0.0;8.0;3.5;1.9;51233.0;2.0;3.0;5.0;44.15;55.85;649;4.474010754170688
23;14462;0.0;8.0;3.6;1.9;51823.0;2.0;3.0;5.0;44.79;55.21;616;4.259438528557599
