hour;nb_data;min;max;mean;std;sum;Q1;median;Q3;taux_dispo;taux_occ;penurie;taux_penurie
0;14371;0.0;8.0;3.7;2.3;52617.0;2.0;3.0;5.0;45.77;54.23;747;5.197968130262334
1;14398;0.0;8.0;3.8;2.2;54332.0;2.0;3.0;6.0;47.17;52.83;779;5.41047367689957
2;14462;0.0;8.0;3.9;2.3;56002.0;2.0;4.0;6.0;48.4;51.6;979;6.769464804314756
3;14368;0.0;8.0;3.9;2.3;56604.0;2.0;4.0;6.0;49.24;50.76;936;6.514476614699332
4;14395;0.0;8.0;4.0;2.3;57048.0;2.0;4.0;6.0;49.54;50.46;1016;7.058006252170893
5;14415;0.0;8.0;4.0;2.3;57011.0;2.0;4.0;6.0;49.44;50.56;897;6.222684703433923
6;14454;0.0;8.0;3.9;2.3;56769.0;2.0;4.0;6.0;49.09;50.91;900;6.226650062266501
7;14396;0.0;8.0;3.9;2.3;55924.0;2.0;4.0;6.0;48.56;51.44;944;6.557377049180328
8;14322;0.0;8.0;3.7;2.3;52906.0;2.0;4.0;6.0;46.18;53.82;1047;7.310431503979892
9;14283;0.0;8.0;3.4;2.2;48623.0;2.0;3.0;5.0;42.55;57.45;1071;7.498424700693132
10;14496;0.0;8.0;3.2;2.1;46333.0;1.0;3.0;5.0;39.95;60.05;1057;7.291666666666667
11;14588;0.0;8.0;3.1;2.1;44809.0;1.0;3.0;5.0;38.4;61.6;1314;9.007403345215245
12;14569;0.0;8.0;3.0;2.1;44154.0;1.0;3.0;4.0;37.88;62.12;1348;9.252522479236735
13;14520;0.0;8.0;2.9;2.1;42511.0;1.0;3.0;4.0;36.6;63.4;1467;10.103305785123966
14;14497;0.0;8.0;2.9;2.0;42181.0;1.0;3.0;4.0;36.37;63.63;1352;9.326067462233565
15;14418;0.0;8.0;2.9;2.1;41813.0;1.0;3.0;4.0;36.25;63.75;1496;10.3759189901512
16;14400;0.0;8.0;2.8;2.1;39892.0;1.0;2.0;4.0;34.63;65.37;1842;12.791666666666668
17;14449;0.0;8.0;2.8;2.1;41165.0;1.0;2.0;4.0;35.61;64.39;1714;11.862412623710982
18;14447;0.0;8.0;3.1;2.1;44553.0;1.0;3.0;5.0;38.55;61.45;1217;8.423894234097045
19;14460;0.0;8.0;3.2;2.2;46570.0;2.0;3.0;5.0;40.26;59.74;1115;7.710926694329184
20;14514;0.0;8.0;3.4;2.2;48786.0;2.0;3.0;5.0;42.02;57.98;1129;7.778696431032108
21;14510;0.0;8.0;3.4;2.2;49299.0;2.0;3.0;5.0;42.47;57.53;1096;7.553411440385941
22;14506;0.0;8.0;3.4;2.2;49534.0;2.0;3.0;5.0;42.68;57.32;946;6.521439404384393
23;14462;0.0;8.0;3.5;2.3;49996.0;2.0;3.0;5.0;43.21;56.79;948;6.555109943299682
