hour;nb_data;min;max;mean;std;sum;Q1;median;Q3;taux_dispo;taux_occ;penurie;taux_penurie
0;14371;0.0;8.0;3.8;2.3;54161.0;2.0;4.0;5.0;47.11;52.89;884;6.151276877044047
1;14398;0.0;8.0;3.8;2.3;54448.0;2.0;4.0;6.0;47.27;52.73;826;5.736907903875538
2;14462;0.0;8.0;3.8;2.3;55340.0;2.0;4.0;6.0;47.83;52.17;783;5.414188908864611
3;14368;0.0;8.0;3.8;2.3;55215.0;2.0;4.0;6.0;48.04;51.96;818;5.693207126948775
4;14395;0.0;8.0;3.9;2.3;55948.0;2.0;4.0;6.0;48.58;51.42;767;5.328238971865231
5;14415;0.0;8.0;3.9;2.3;55662.0;2.0;4.0;6.0;48.27;51.73;882;6.118626430801249
6;14454;0.0;8.0;3.8;2.3;54972.0;2.0;4.0;6.0;47.54;52.46;845;5.846132558461326
7;14396;0.0;8.0;3.5;2.2;50216.0;1.0;3.0;5.0;43.6;56.4;1084;7.529869408168937
8;14322;0.0;8.0;3.2;2.2;45476.0;1.0;3.0;5.0;39.69;60.31;1537;10.731741376902667
9;14283;0.0;8.0;2.9;2.2;41549.0;1.0;3.0;4.0;36.36;63.64;2174;15.2208919694742
10;14496;0.0;8.0;2.7;2.1;39519.0;1.0;3.0;4.0;34.08;65.92;2420;16.694260485651213
11;14588;0.0;8.0;2.7;2.0;38753.0;1.0;3.0;4.0;33.21;66.78999999999999;2249;15.416780915821224
12;14569;0.0;8.0;2.7;2.0;39877.0;1.0;2.0;4.0;34.21;65.78999999999999;1572;10.79003363305649
13;14520;0.0;8.0;2.9;2.0;41568.0;1.0;3.0;4.0;35.79;64.21000000000001;1235;8.505509641873278
14;14500;0.0;8.0;2.9;1.9;41335.0;1.0;3.0;4.0;35.63;64.37;1175;8.103448275862068
15;14418;0.0;8.0;2.8;1.9;40720.0;1.0;3.0;4.0;35.3;64.7;1240;8.600360660285753
16;14400;0.0;8.0;2.8;1.9;40338.0;1.0;3.0;4.0;35.02;64.97999999999999;1484;10.305555555555555
17;14449;0.0;8.0;2.8;2.0;40880.0;1.0;3.0;4.0;35.37;64.63;1528;10.575126306318776
18;14447;0.0;8.0;3.1;2.1;44667.0;1.0;3.0;4.0;38.65;61.35;1462;10.11974804457673
19;14460;0.0;8.0;3.4;2.2;49481.0;2.0;3.0;5.0;42.77;57.23;1037;7.171507607192254
20;14514;0.0;8.0;3.7;2.2;53665.0;2.0;3.0;5.0;46.22;53.78;600;4.13393964448119
21;14510;0.0;8.0;3.7;2.2;54208.0;2.0;3.0;5.0;46.7;53.3;563;3.8800827015851134
22;14506;0.0;8.0;3.7;2.3;53745.0;2.0;3.0;5.0;46.31;53.69;756;5.211636564180339
23;14462;0.0;8.0;3.7;2.3;53864.0;2.0;4.0;6.0;46.56;53.44;1015;7.01839303000968
