hour;nb_data;min;max;mean;std;sum;Q1;median;Q3;taux_dispo;taux_occ;penurie;taux_penurie
0;14371;0.0;8.0;3.8;2.5;54986.0;2.0;4.0;6.0;47.83;52.17;1711;11.905921647762856
1;14398;0.0;8.0;3.7;2.5;53193.0;2.0;4.0;6.0;46.18;53.82;1957;13.592165578552576
2;14462;0.0;8.0;3.7;2.5;52870.0;2.0;4.0;6.0;45.7;54.3;1980;13.691052413220856
3;14368;0.0;8.0;3.6;2.5;52286.0;2.0;4.0;6.0;45.49;54.51;2013;14.010300668151448
4;14395;0.0;8.0;3.7;2.5;53397.0;2.0;4.0;6.0;46.37;53.63;1980;13.754775963876344
5;14415;0.0;8.0;3.7;2.5;53803.0;2.0;4.0;6.0;46.66;53.34;1915;13.284772806104753
6;14454;0.0;8.0;3.8;2.5;54886.0;2.0;4.0;6.0;47.47;52.53;1657;11.463954614639546
7;14396;0.0;8.0;3.9;2.5;55755.0;2.0;4.0;6.0;48.41;51.59;1556;10.8085579327591
8;14322;0.0;8.0;3.9;2.5;56206.0;2.0;4.0;6.0;49.06;50.94;1511;10.550202485686357
9;14283;0.0;8.0;4.1;2.4;58133.0;2.0;4.0;6.0;50.88;49.12;1052;7.365399425890919
10;14496;0.0;8.0;4.2;2.3;61254.0;2.0;4.0;6.0;52.82;47.18;844;5.822295805739515
11;14588;0.0;8.0;4.3;2.3;63405.0;3.0;5.0;6.0;54.33;45.67;791;5.422264875239923
12;14569;0.0;8.0;4.3;2.3;62620.0;2.0;4.0;6.0;53.73;46.27;886;6.081405724483492
13;14520;0.0;8.0;4.2;2.3;61610.0;3.0;4.0;6.0;53.04;46.96;870;5.991735537190083
14;14497;0.0;8.0;4.2;2.3;60801.0;3.0;4.0;6.0;52.43;47.57;837;5.773608332758502
15;14418;0.0;8.0;4.3;2.3;62001.0;3.0;4.0;6.0;53.75;46.25;789;5.472326258843112
16;14400;0.0;8.0;4.3;2.3;62148.0;3.0;4.0;6.0;53.95;46.05;922;6.402777777777778
17;14449;0.0;8.0;4.4;2.4;63117.0;3.0;4.0;6.0;54.6;45.4;995;6.886289708630356
18;14447;0.0;8.0;4.4;2.4;63670.0;3.0;5.0;6.0;55.09;44.91;941;6.513463002699522
19;14460;0.0;8.0;4.4;2.4;63780.0;3.0;5.0;7.0;55.13;44.87;1020;7.053941908713693
20;14514;0.0;8.0;4.4;2.5;63394.0;3.0;4.0;7.0;54.6;45.4;1192;8.21276009370263
21;14510;0.0;8.0;4.3;2.5;62157.0;2.0;4.0;6.0;53.55;46.45;1205;8.30461750516885
22;14506;0.0;8.0;4.1;2.5;59570.0;2.0;4.0;6.0;51.33;48.67;1309;9.023852199090033
23;14462;0.0;8.0;4.0;2.5;57303.0;2.0;4.0;6.0;49.53;50.47;1358;9.390125847047434
