hour;nb_data;min;max;mean;std;sum;Q1;median;Q3;taux_dispo;taux_occ;penurie;taux_penurie
0;14371;0.0;8.0;3.3;2.2;47502.0;2.0;3.0;5.0;41.32;58.68;1138;7.9187252104933545
1;14398;0.0;8.0;3.3;2.3;46986.0;1.0;3.0;5.0;40.79;59.21;1142;7.931657174607584
2;14462;0.0;8.0;3.1;2.2;44666.0;1.0;3.0;5.0;38.61;61.39;1505;10.406582768635044
3;14368;0.0;8.0;2.9;2.2;41681.0;1.0;2.0;5.0;36.26;63.74;1830;12.736636971046773
4;14395;0.0;8.0;2.7;2.2;39177.0;1.0;2.0;4.0;34.02;65.97999999999999;2313;16.068079194164643
5;14415;0.0;8.0;2.7;2.2;38632.0;1.0;2.0;4.0;33.5;66.5;2566;17.80090183836282
6;14454;0.0;8.0;2.8;2.2;39754.0;1.0;2.0;4.0;34.38;65.62;2326;16.09243116092431
7;14396;0.0;8.0;2.8;2.2;39663.0;1.0;2.0;4.0;34.44;65.56;2282;15.851625451514309
8;14322;0.0;8.0;2.8;2.2;39518.0;1.0;2.0;4.0;34.49;65.50999999999999;2086;14.565004887585534
9;14283;0.0;8.0;2.9;2.1;40830.0;1.0;2.0;4.0;35.73;64.27000000000001;1980;13.862633900441084
10;14496;0.0;8.0;2.9;2.1;42316.0;1.0;3.0;4.0;36.49;63.51;1928;13.300220750551878
11;14588;0.0;8.0;3.0;2.0;43110.0;1.0;3.0;4.0;36.94;63.06;1782;12.215519605154922
12;14569;0.0;8.0;2.9;2.0;42450.0;1.0;3.0;4.0;36.42;63.58;1715;11.771569771432494
13;14520;0.0;8.0;2.9;2.1;41549.0;1.0;2.0;4.0;35.77;64.22999999999999;1920;13.223140495867769
14;14497;0.0;8.0;2.9;2.1;41589.0;1.0;2.0;4.0;35.86;64.14;1953;13.471752776436505
15;14418;0.0;8.0;2.9;2.1;41215.0;1.0;3.0;4.0;35.73;64.27000000000001;1925;13.35136634762103
16;14400;0.0;8.0;2.8;2.1;40255.0;1.0;2.0;4.0;34.94;65.06;1844;12.805555555555555
17;14449;0.0;8.0;2.9;2.1;41246.0;1.0;2.0;4.0;35.68;64.32;1799;12.450688628970862
18;14447;0.0;8.0;3.0;2.1;43746.0;1.0;3.0;5.0;37.85;62.15;1702;11.780992593618052
19;14460;0.0;8.0;3.0;2.2;43788.0;1.0;3.0;5.0;37.85;62.15;1693;11.708160442600276
20;14514;0.0;8.0;3.1;2.2;44341.0;1.0;3.0;5.0;38.19;61.81;1671;11.513021909880115
21;14510;0.0;8.0;3.1;2.2;45413.0;1.0;3.0;5.0;39.12;60.88;1525;10.50999310820124
22;14506;0.0;8.0;3.3;2.2;47706.0;2.0;3.0;5.0;41.11;58.89;1264;8.713635736936439
23;14462;0.0;8.0;3.4;2.2;48658.0;2.0;3.0;5.0;42.06;57.94;1169;8.08325266214908
