hour;nb_data;min;max;mean;std;sum;Q1;median;Q3;taux_dispo;taux_occ;penurie;taux_penurie
0;14371;0.0;16.0;9.4;4.3;135611.0;6.0;10.0;13.0;58.98;41.02;273;1.8996590355577203
1;14398;0.0;16.0;9.7;4.4;138972.0;6.0;10.0;13.0;60.33;39.67;300;2.083622725378525
2;14462;0.0;16.0;9.9;4.4;143068.0;6.0;11.0;14.0;61.83;38.17;262;1.8116443092241739
3;14368;0.0;16.0;10.1;4.3;144951.0;7.0;11.0;14.0;63.05;36.95;240;1.670378619153675
4;14395;0.0;16.0;10.2;4.3;147092.0;7.0;11.0;14.0;63.86;36.14;252;1.7506078499478988
5;14415;0.0;16.0;10.1;4.4;146238.0;7.0;11.0;14.0;63.41;36.59;284;1.9701699618453001
6;14454;0.0;16.0;10.1;4.3;146591.0;7.0;11.0;14.0;63.39;36.61;240;1.6604400166044004
7;14396;0.0;16.0;10.1;4.3;145332.0;7.0;11.0;14.0;63.1;36.9;240;1.667129758266185
8;14322;0.0;16.0;8.9;4.1;128086.0;6.0;9.0;13.0;55.9;44.1;239;1.668761346180701
9;14283;0.0;16.0;9.3;3.9;132179.0;6.0;9.0;12.0;57.84;42.16;155;1.0852061891759435
10;14496;0.0;16.0;9.3;3.7;134267.0;6.0;9.0;12.0;57.89;42.11;133;0.9174944812362031
11;14588;0.0;16.0;9.2;3.8;134068.0;7.0;9.0;12.0;57.44;42.56;214;1.4669591445023307
12;14569;0.0;16.0;8.9;3.9;130078.0;6.0;9.0;12.0;55.8;44.2;319;2.1895806163772393
13;14520;0.0;16.0;8.9;3.9;129047.0;6.0;9.0;12.0;55.55;44.45;300;2.066115702479339
14;14501;0.0;16.0;8.9;4.0;129136.0;6.0;9.0;12.0;55.66;44.34;369;2.5446520929591063
15;14418;0.0;16.0;8.8;4.0;127031.0;6.0;9.0;12.0;55.07;44.93;418;2.8991538354834234
16;14400;0.0;16.0;8.6;4.0;124005.0;6.0;9.0;12.0;53.82;46.18;536;3.722222222222222
17;14449;0.0;16.0;8.4;4.0;121822.0;5.0;9.0;12.0;52.69;47.31;347;2.401550280296214
18;14447;0.0;16.0;8.4;4.1;121710.0;5.0;9.0;12.0;52.65;47.35;313;2.1665397660413928
19;14460;0.0;16.0;8.5;4.1;122853.0;5.0;9.0;12.0;53.1;46.9;385;2.6625172890733055
20;14514;0.0;16.0;8.6;4.2;124828.0;5.0;9.0;12.0;53.75;46.25;424;2.9213173487667077
21;14510;0.0;16.0;8.9;4.2;128558.0;6.0;9.0;12.0;55.37;44.63;424;2.9221226740179187
22;14506;0.0;16.0;9.1;4.2;132033.0;6.0;9.0;12.0;56.89;43.11;318;2.1921963325520473
23;14462;0.0;16.0;9.3;4.2;134907.0;6.0;10.0;13.0;58.3;41.7;251;1.7355829069285023
