hour;nb_data;min;max;mean;std;sum;Q1;median;Q3;taux_dispo;taux_occ;penurie;taux_penurie
0;14371;0.0;8.0;4.3;2.3;61081.0;2.0;4.0;6.0;53.13;46.87;665;4.627374573794447
1;14398;0.0;8.0;4.4;2.3;63626.0;2.0;4.0;6.0;55.24;44.76;563;3.910265314627032
2;14462;0.0;8.0;4.5;2.3;65727.0;3.0;5.0;6.0;56.81;43.19;455;3.146176185866408
3;14368;0.0;8.0;4.7;2.3;67947.0;3.0;5.0;7.0;59.11;40.89;388;2.700445434298441
4;14395;0.0;8.0;4.9;2.3;69933.0;3.0;5.0;7.0;60.73;39.27;322;2.236887808266759
5;14415;0.0;8.0;4.9;2.3;71111.0;3.0;5.0;7.0;61.66;38.34;457;3.1703087062088104
6;14454;0.0;8.0;5.0;2.3;71570.0;3.0;5.0;7.0;61.89;38.11;420;2.9057700290577
7;14396;0.0;8.0;4.9;2.3;70305.0;3.0;5.0;7.0;61.05;38.95;420;2.917477076965824
8;14322;0.0;8.0;4.6;2.3;66101.0;3.0;5.0;7.0;57.69;42.31;464;3.2397709817064655
9;14283;0.0;8.0;4.4;2.2;62518.0;3.0;4.0;6.0;54.71;45.29;372;2.6044948540222643
10;14496;0.0;8.0;4.2;2.1;60939.0;3.0;4.0;6.0;52.55;47.45;542;3.7389624724061807
11;14588;0.0;8.0;4.1;2.1;60091.0;3.0;4.0;6.0;51.49;48.51;670;4.592816013161503
12;14569;0.0;8.0;4.0;2.1;57899.0;2.0;4.0;6.0;49.68;50.32;656;4.502711236186423
13;14520;0.0;8.0;3.9;2.1;57038.0;2.0;4.0;6.0;49.1;50.9;673;4.634986225895317
14;14498;0.0;8.0;3.9;2.1;56435.0;2.0;4.0;6.0;48.66;51.34;708;4.883432197544489
15;14418;0.0;8.0;3.8;2.2;54129.0;2.0;3.0;5.0;46.93;53.07;755;5.236509918157858
16;14400;0.0;8.0;3.8;2.1;54121.0;2.0;3.0;5.0;46.98;53.02;656;4.555555555555555
17;14449;0.0;8.0;3.9;2.1;56117.0;2.0;4.0;6.0;48.55;51.45;667;4.6162364177451725
18;14447;0.0;8.0;4.1;2.2;59261.0;2.0;4.0;6.0;51.27;48.73;579;4.007752474562193
19;14460;0.0;8.0;4.1;2.2;58889.0;2.0;4.0;6.0;50.91;49.09;649;4.488243430152144
20;14514;0.0;8.0;4.0;2.3;58340.0;2.0;4.0;6.0;50.24;49.76;920;6.338707454871159
21;14510;0.0;8.0;3.9;2.4;57088.0;2.0;4.0;6.0;49.18;50.82;1029;7.091660923501034
22;14506;0.0;8.0;3.9;2.3;56165.0;2.0;4.0;6.0;48.4;51.6;1147;7.907072935337102
23;14462;0.0;8.0;4.0;2.3;58366.0;2.0;4.0;6.0;50.45;49.55;944;6.527451251555802
