hour;nb_data;min;max;mean;std;sum;Q1;median;Q3;taux_dispo;taux_occ;penurie;taux_penurie
0;14371;1.0;8.0;5.5;1.9;78673.0;4.0;6.0;7.0;68.43;31.569999999999993;0;0.0
1;14398;0.0;8.0;5.5;1.9;79498.0;4.0;6.0;7.0;69.02;30.980000000000004;35;0.24308931796082786
2;14462;0.0;8.0;5.6;1.9;80288.0;4.0;6.0;7.0;69.4;30.599999999999994;86;0.594661872493431
3;14368;0.0;8.0;5.6;2.0;79950.0;4.0;6.0;7.0;69.56;30.439999999999998;79;0.5498329621380846
4;14395;0.0;8.0;5.6;2.0;80359.0;4.0;6.0;7.0;69.78;30.22;64;0.44459881903438697
5;14415;0.0;8.0;5.5;2.1;79960.0;4.0;6.0;7.0;69.34;30.659999999999997;153;1.0613943808532778
6;14454;0.0;8.0;5.5;2.1;79810.0;4.0;6.0;7.0;69.02;30.980000000000004;180;1.2453300124533
7;14396;0.0;8.0;5.4;2.1;78346.0;4.0;6.0;7.0;68.03;31.97;180;1.2503473186996388
8;14322;0.0;8.0;5.2;2.1;74769.0;4.0;5.0;7.0;65.26;34.739999999999995;194;1.354559419075548
9;14283;0.0;8.0;5.0;2.0;71185.0;4.0;5.0;6.0;62.3;37.7;189;1.3232514177693762
10;14496;0.0;8.0;4.8;2.0;69491.0;3.0;5.0;6.0;59.92;40.08;240;1.6556291390728477
11;14588;0.0;8.0;4.6;2.0;66760.0;3.0;5.0;6.0;57.2;42.8;387;2.652865368796271
12;14569;0.0;8.0;4.5;2.1;65111.0;3.0;5.0;6.0;55.86;44.14;433;2.9720639714462216
13;14520;0.0;8.0;4.4;2.1;63428.0;3.0;5.0;6.0;54.6;45.4;316;2.1763085399449036
14;14499;0.0;8.0;4.3;2.1;61854.0;2.0;4.0;6.0;53.33;46.67;319;2.2001517346023864
15;14418;0.0;8.0;4.2;2.1;61019.0;3.0;4.0;6.0;52.9;47.1;379;2.6286586211679843
16;14400;0.0;8.0;4.3;2.1;61431.0;3.0;4.0;6.0;53.33;46.67;230;1.597222222222222
17;14449;0.0;8.0;4.5;2.1;65336.0;3.0;4.0;6.0;56.52;43.48;200;1.384178835905599
18;14447;0.0;8.0;4.7;2.2;68441.0;3.0;5.0;7.0;59.22;40.78;286;1.9796497542742437
19;14460;0.0;8.0;4.9;2.2;71316.0;3.0;5.0;7.0;61.65;38.35;285;1.970954356846473
20;14514;0.0;8.0;5.0;2.1;72827.0;3.0;5.0;7.0;62.72;37.28;97;0.6683202425244591
21;14510;0.0;8.0;5.1;2.0;73629.0;4.0;5.0;7.0;63.43;36.57;131;0.9028256374913852
22;14506;0.0;8.0;5.2;2.0;74825.0;4.0;5.0;7.0;64.48;35.519999999999996;126;0.8686060940300565
23;14462;0.0;8.0;5.3;2.0;76383.0;4.0;5.0;7.0;66.02;33.980000000000004;25;0.17286682339925322
