hour;nb_data;min;max;mean;std;sum;Q1;median;Q3;taux_dispo;taux_occ;penurie;taux_penurie
0;14371;0.0;8.0;4.8;2.4;68301.0;3.0;5.0;7.0;59.41;40.59;716;4.98225593208545
1;14398;0.0;8.0;5.0;2.4;71889.0;3.0;5.0;7.0;62.41;37.59;616;4.278371996110571
2;14462;0.0;8.0;5.2;2.3;74921.0;4.0;6.0;7.0;64.76;35.239999999999995;571;3.9482782464389437
3;14368;0.0;8.0;5.3;2.3;75664.0;4.0;6.0;7.0;65.83;34.17;684;4.760579064587973
4;14395;0.0;8.0;5.2;2.4;75114.0;4.0;6.0;7.0;65.23;34.769999999999996;651;4.522403612365404
5;14415;0.0;8.0;5.2;2.4;75164.0;3.0;6.0;7.0;65.18;34.81999999999999;664;4.606312868539716
6;14454;0.0;8.0;5.2;2.5;75159.0;3.0;6.0;7.0;65.0;35.0;769;5.320326553203265
7;14396;0.0;8.0;5.2;2.4;75097.0;4.0;6.0;7.0;65.21;34.790000000000006;728;5.056960266740761
8;14322;0.0;8.0;5.0;2.4;71868.0;3.0;5.0;7.0;62.73;37.27;878;6.130428711073872
9;14283;0.0;8.0;4.8;2.4;69158.0;3.0;5.0;7.0;60.52;39.48;946;6.623258419099629
10;14496;0.0;8.0;4.6;2.3;67198.0;3.0;5.0;7.0;57.95;42.05;994;6.857064017660044
11;14588;0.0;8.0;4.4;2.3;64412.0;3.0;4.0;6.0;55.19;44.81;964;6.608171099533863
12;14569;0.0;8.0;4.3;2.3;62550.0;3.0;4.0;6.0;53.67;46.33;977;6.706019630722768
13;14520;0.0;8.0;4.2;2.2;61022.0;3.0;4.0;6.0;52.53;47.47;855;5.8884297520661155
14;14499;0.0;8.0;4.0;2.2;58476.0;3.0;4.0;6.0;50.41;49.59;1174;8.097110145527278
15;14418;0.0;8.0;4.1;2.3;58931.0;3.0;4.0;6.0;51.09;48.91;1244;8.628103759189901
16;14400;0.0;8.0;4.1;2.2;59176.0;3.0;4.0;6.0;51.37;48.63;1032;7.166666666666667
17;14449;0.0;8.0;4.2;2.2;60453.0;3.0;4.0;6.0;52.3;47.7;926;6.408748010242923
18;14447;0.0;8.0;4.3;2.3;62681.0;3.0;5.0;6.0;54.23;45.77;826;5.717449989617221
19;14460;0.0;8.0;4.5;2.3;65663.0;3.0;5.0;6.0;56.76;43.24;857;5.926694329183955
20;14514;0.0;8.0;4.5;2.3;65117.0;3.0;5.0;6.0;56.08;43.92;941;6.483395342428
21;14510;0.0;8.0;4.4;2.4;64064.0;3.0;5.0;6.0;55.19;44.81;1224;8.435561681598898
22;14506;0.0;8.0;4.4;2.4;64463.0;3.0;5.0;6.0;55.55;44.45;1163;8.0173721218806
23;14462;0.0;8.0;4.6;2.4;66139.0;3.0;5.0;7.0;57.17;42.83;953;6.5896833079795325
