hour;nb_data;min;max;mean;std;sum;Q1;median;Q3;taux_dispo;taux_occ;penurie;taux_penurie
0;14371;0.0;8.0;4.9;2.3;70752.0;3.0;5.0;7.0;61.54;38.46;515;3.583605872938557
1;14398;0.0;8.0;5.0;2.3;72292.0;3.0;5.0;7.0;62.76;37.24;380;2.6392554521461316
2;14462;0.0;8.0;5.1;2.2;73884.0;3.0;5.0;7.0;63.86;36.14;170;1.1754943991149218
3;14368;0.0;8.0;5.2;2.2;74704.0;4.0;5.0;7.0;64.99;35.010000000000005;120;0.8351893095768375
4;14395;0.0;8.0;5.3;2.2;75816.0;4.0;6.0;7.0;65.84;34.16;120;0.8336227856894755
5;14415;0.0;8.0;5.3;2.2;75857.0;4.0;5.0;7.0;65.78;34.22;198;1.3735691987513006
6;14454;0.0;8.0;5.2;2.3;75068.0;4.0;5.0;7.0;64.92;35.08;301;2.082468520824685
7;14396;0.0;8.0;5.1;2.2;73757.0;3.75;5.0;7.0;64.04;35.959999999999994;332;2.306196165601556
8;14322;0.0;8.0;4.9;2.2;70219.0;3.0;5.0;7.0;61.29;38.71;240;1.6757436112274822
9;14283;0.0;8.0;4.6;2.2;65938.0;3.0;5.0;7.0;57.71;42.29;307;2.1494083875936427
10;14496;0.0;8.0;4.5;2.2;65529.0;3.0;4.0;6.0;56.51;43.49;319;2.2006070640176603
11;14588;0.0;8.0;4.4;2.1;64014.0;3.0;4.0;6.0;54.85;45.15;349;2.3923772964080063
12;14569;0.0;8.0;4.3;2.1;62995.0;3.0;4.0;6.0;54.05;45.95;323;2.2170361726954493
13;14520;0.0;8.0;4.2;2.2;61681.0;3.0;4.0;6.0;53.1;46.9;453;3.1198347107438016
14;14499;0.0;8.0;4.3;2.2;61952.0;3.0;4.0;6.0;53.41;46.59;435;3.000206910821436
15;14418;0.0;8.0;4.2;2.2;61110.0;3.0;4.0;6.0;52.98;47.02;630;4.369538077403246
16;14400;0.0;8.0;4.2;2.2;61101.0;3.0;4.0;6.0;53.04;46.96;485;3.3680555555555554
17;14449;0.0;8.0;4.3;2.2;62792.0;3.0;4.0;6.0;54.32;45.68;368;2.546889058066302
18;14447;0.0;8.0;4.5;2.2;65624.0;3.0;5.0;6.0;56.78;43.22;449;3.107911677164809
19;14460;0.0;8.0;4.6;2.3;67147.0;3.0;4.0;7.0;58.05;41.95;436;3.0152143845089903
20;14514;0.0;8.0;4.6;2.3;67276.0;3.0;5.0;7.0;57.94;42.06;528;3.6378668871434474
21;14510;0.0;8.0;4.6;2.3;66943.0;3.0;5.0;7.0;57.67;42.33;541;3.728463128876637
22;14506;0.0;8.0;4.7;2.2;68144.0;3.0;5.0;7.0;58.72;41.28;483;3.3296566937818834
23;14462;0.0;8.0;4.8;2.2;69396.0;3.0;5.0;7.0;59.98;40.02;521;3.6025445996404373
