hour;nb_data;min;max;mean;std;sum;Q1;median;Q3;taux_dispo;taux_occ;penurie;taux_penurie
0;14371;0.0;12.0;1.8;2.3;26020.0;0.0;1.0;3.0;11.32;88.68;5160;35.905643309442624
1;14398;0.0;12.0;2.1;2.4;30047.0;0.0;1.0;3.0;13.04;86.96000000000001;4913;34.12279483261565
2;14462;0.0;12.0;2.3;2.6;33981.0;0.0;2.0;4.0;14.69;85.31;4545;31.427188493984236
3;14368;0.0;12.0;2.6;2.8;37956.0;0.0;2.0;4.0;16.51;83.49;4242;29.5239420935412
4;14395;0.0;12.0;2.9;2.9;42078.0;0.0;2.0;5.0;18.27;81.73;4036;28.037513025356027
5;14415;0.0;14.0;3.0;3.1;43193.0;0.0;2.0;5.0;18.73;81.27;4160;28.85882761012834
6;14454;0.0;14.0;3.0;3.1;43608.0;0.0;2.0;5.0;18.86;81.14;4257;29.45205479452055
7;14396;0.0;15.0;2.9;3.1;42400.0;0.0;2.0;4.0;18.41;81.59;4257;29.570714087246458
8;14322;0.0;15.0;2.9;3.2;41436.0;0.0;2.0;5.0;18.08;81.92;4573;31.929898058930316
9;14283;0.0;15.0;3.1;3.7;44729.0;0.0;2.0;5.0;19.57;80.43;4998;34.99264860323461
10;14496;0.0;15.0;3.4;3.8;49514.0;0.0;2.0;6.0;21.35;78.65;4824;33.27814569536424
11;14588;0.0;14.0;3.7;3.9;53887.0;0.0;2.0;7.0;23.09;76.91;4697;32.19769673704415
12;14569;0.0;15.0;3.7;3.8;53727.0;0.0;2.0;6.0;23.05;76.95;4663;32.006314777953186
13;14520;0.0;15.0;3.7;3.9;54309.0;0.0;3.0;7.0;23.38;76.62;4565;31.439393939393938
14;14501;0.0;15.0;3.5;3.7;50434.0;0.0;2.0;6.0;21.74;78.26;4615;31.82539135232053
15;14418;0.0;15.0;3.4;3.5;49004.0;0.0;2.0;6.0;21.24;78.76;4824;33.458177278402
16;14400;0.0;14.0;3.1;3.3;44228.0;0.0;2.0;5.0;19.2;80.8;4874;33.84722222222222
17;14449;0.0;13.0;2.6;2.9;36869.0;0.0;1.0;4.0;15.95;84.05;5182;35.86407363831407
18;14447;0.0;11.0;2.1;2.5;29989.0;0.0;1.0;3.0;12.97;87.03;5577;38.603170208347755
19;14460;0.0;11.0;1.8;2.3;25725.0;0.0;1.0;2.0;11.12;88.88;5855;40.49100968188105
20;14514;0.0;10.0;1.6;2.1;22549.0;0.0;1.0;2.0;9.71;90.28999999999999;6169;42.503789444674105
21;14510;0.0;10.0;1.5;2.1;21432.0;0.0;1.0;2.0;9.23;90.77;6289;43.34252239834597
22;14506;0.0;11.0;1.6;2.2;22710.0;0.0;1.0;2.0;9.78;90.22;6054;41.73445470839653
23;14462;0.0;11.0;1.7;2.3;24338.0;0.0;1.0;2.0;10.52;89.48;5801;40.11201770156272
