hour;nb_data;min;max;mean;std;sum;Q1;median;Q3;taux_dispo;taux_occ;penurie;taux_penurie
0;14371;0.0;8.0;4.0;2.1;57015.0;2.0;4.0;6.0;49.59;50.41;613;4.265534757497739
1;14398;0.0;8.0;3.9;2.1;56869.0;2.0;4.0;6.0;49.37;50.63;737;5.118766495346576
2;14462;0.0;8.0;4.0;2.2;57230.0;2.0;4.0;6.0;49.47;50.53;942;6.513621905683861
3;14368;0.0;8.0;4.1;2.2;59307.0;3.0;4.0;6.0;51.6;48.4;752;5.233853006681515
4;14395;0.0;8.0;4.2;2.2;61046.0;3.0;4.0;6.0;53.01;46.99;683;4.744703021882598
5;14415;0.0;8.0;4.3;2.2;61961.0;3.0;4.0;6.0;53.73;46.27;687;4.765868886576483
6;14454;0.0;8.0;4.4;2.2;62913.0;3.0;4.0;6.0;54.41;45.59;720;4.9813200498132
7;14396;0.0;8.0;4.3;2.3;62042.0;3.0;4.0;6.0;53.87;46.13;742;5.154209502639622
8;14322;0.0;8.0;4.2;2.2;59733.0;3.0;4.0;6.0;52.13;47.87;739;5.159893869571289
9;14283;0.0;8.0;4.2;2.2;59496.0;3.0;4.0;6.0;52.07;47.93;416;2.9125533851431773
10;14496;0.0;8.0;4.2;2.1;60757.0;3.0;4.0;6.0;52.39;47.61;311;2.145419426048565
11;14588;0.0;8.0;4.2;2.2;61192.0;3.0;4.0;6.0;52.43;47.57;445;3.050452426652043
12;14569;0.0;8.0;4.2;2.1;60887.0;3.0;4.0;6.0;52.24;47.76;521;3.576086210446839
13;14520;0.0;8.0;4.2;2.1;60484.0;3.0;4.0;6.0;52.07;47.93;403;2.775482093663912
14;14499;0.0;8.0;4.2;2.0;60423.0;3.0;4.0;6.0;52.09;47.91;348;2.400165528657149
15;14418;0.0;8.0;4.1;2.0;59173.0;3.0;4.0;6.0;51.3;48.7;351;2.4344569288389515
16;14400;0.0;8.0;4.1;1.9;58557.0;3.0;4.0;6.0;50.83;49.17;376;2.611111111111111
17;14449;0.0;8.0;4.1;2.0;59818.0;3.0;4.0;6.0;51.75;48.25;435;3.010588968094678
18;14447;0.0;8.0;4.1;2.0;58699.0;3.0;4.0;6.0;50.79;49.21;525;3.633972451027895
19;14460;0.0;8.0;4.0;2.0;57883.0;3.0;4.0;6.0;50.04;49.96;413;2.856154910096819
20;14514;0.0;8.0;4.0;2.0;57889.0;2.0;4.0;6.0;49.86;50.14;433;2.983326443433926
21;14510;0.0;8.0;4.0;2.1;57848.0;2.0;4.0;6.0;49.83;50.17;536;3.6940041350792554
22;14506;0.0;8.0;4.0;2.1;57862.0;2.0;4.0;6.0;49.86;50.14;519;3.5778298635047565
23;14462;0.0;8.0;3.9;2.1;56944.0;2.0;4.0;6.0;49.22;50.78;628;4.342414603789241
