hour;nb_data;min;max;mean;std;sum;Q1;median;Q3;taux_dispo;taux_occ;penurie;taux_penurie
0;14371;0.0;32.0;10.3;7.3;148408.0;4.0;9.0;14.0;32.27;67.72999999999999;299;2.0805789437060747
1;14398;0.0;32.0;10.6;7.3;152264.0;5.0;9.0;14.0;33.05;66.95;307;2.1322405889706904
2;14462;0.0;32.0;11.4;7.3;165291.0;6.0;11.0;15.0;35.72;64.28;249;1.7217535610565622
3;14368;0.0;32.0;12.5;7.7;179785.0;6.0;12.0;17.0;39.1;60.9;132;0.9187082405345212
4;14395;0.0;32.0;13.7;8.0;196517.0;7.0;12.0;19.0;42.66;57.34;175;1.2156998957971519
5;14415;0.0;32.0;14.6;8.2;210914.0;8.0;13.0;20.0;45.72;54.28;62;0.43010752688172044
6;14454;1.0;32.0;15.5;8.3;224120.0;9.0;14.0;22.0;48.46;51.54;0;0.0
7;14396;1.0;32.0;15.6;8.3;224878.0;9.0;15.0;22.0;48.82;51.18;0;0.0
8;14322;1.0;32.0;14.9;7.7;212988.0;9.0;14.0;20.0;46.47;53.53;0;0.0
9;14283;0.0;32.0;14.3;7.4;203992.0;8.0;14.0;19.0;44.63;55.37;33;0.23104389834068476
10;14496;0.0;32.0;13.7;7.3;198882.0;8.0;13.0;18.0;42.87;57.13;70;0.4828918322295806
11;14588;0.0;31.0;13.2;7.2;192541.0;8.0;13.0;17.0;41.25;58.75;179;1.2270359199341925
12;14569;0.0;31.0;12.6;7.3;183741.0;7.0;12.0;17.0;39.41;60.59;171;1.1737250326034732
13;14520;0.0;32.0;12.0;7.1;174757.0;6.0;12.0;16.0;37.61;62.39;183;1.2603305785123966
14;14501;0.0;31.0;11.8;7.0;171372.0;6.0;11.0;16.0;36.93;63.07;246;1.6964347286394041
15;14418;0.0;30.0;11.4;6.9;164558.0;6.0;11.0;15.0;35.67;64.33;313;2.1708974892495494
16;14400;0.0;30.0;10.9;6.8;157395.0;6.0;10.0;15.0;34.16;65.84;242;1.6805555555555556
17;14449;0.0;30.0;10.4;6.8;150815.0;5.0;9.0;15.0;32.62;67.38;324;2.2423697141670704
18;14447;0.0;30.0;10.1;7.0;145538.0;5.0;9.0;14.0;31.48;68.52;472;3.26711427978127
19;14460;0.0;30.0;10.0;7.0;144416.0;4.0;9.0;14.0;31.21;68.78999999999999;547;3.7828492392807744
20;14514;0.0;30.0;9.9;7.0;143113.0;4.0;9.0;14.0;30.81;69.19;462;3.1831335262505167
21;14510;0.0;30.0;9.8;7.1;142307.0;4.0;9.0;14.0;30.65;69.35;352;2.4259131633356303
22;14506;0.0;31.0;9.7;7.2;141338.0;4.0;8.0;14.0;30.45;69.55;501;3.45374327864332
23;14462;0.0;32.0;10.0;7.3;144835.0;4.0;9.0;14.0;31.3;68.7;288;1.9914258055593972
