hour;nb_data;min;max;mean;std;sum;Q1;median;Q3;taux_dispo;taux_occ;penurie;taux_penurie
0;8072;0.0;24.0;5.5;5.7;44580.0;1.0;4.0;8.0;23.01;76.99;1906;23.61248761149653
1;8100;0.0;24.0;5.9;5.8;47654.0;1.0;5.0;9.0;24.51;75.49;1869;23.074074074074076
2;8100;0.0;24.0;6.7;6.1;54656.0;1.0;6.0;11.0;28.12;71.88;1714;21.160493827160494
3;8052;0.0;24.0;8.2;6.5;65839.0;2.0;7.0;13.0;34.07;65.93;1470;18.25633383010432
4;8050;0.0;24.0;9.4;7.0;75910.0;4.0;9.0;15.0;39.29;60.71;1380;17.142857142857142
5;8100;0.0;24.0;10.3;7.4;83316.0;4.0;10.0;16.0;42.86;57.14;1380;17.037037037037038
6;8100;0.0;24.0;10.5;7.7;84773.0;4.0;10.0;16.0;43.61;56.39;1380;17.037037037037038
7;8057;0.0;24.0;10.6;7.7;85132.0;4.0;10.0;16.0;44.03;55.97;1342;16.656323693682513
8;8006;0.0;24.0;10.3;7.3;82666.0;4.0;10.0;16.0;43.02;56.98;1370;17.112165875593305
9;7979;0.0;24.0;10.2;6.9;81208.0;5.0;10.0;15.0;42.41;57.59;1302;16.317834315077075
10;8087;0.0;24.0;10.0;6.7;80643.0;5.0;10.0;15.0;41.55;58.45;1346;16.643996537653024
11;8127;0.0;24.0;9.4;6.5;76721.0;4.0;10.0;14.0;39.33;60.67;1389;17.091177556293836
12;8090;0.0;24.0;9.1;6.4;73236.0;3.0;9.0;14.0;37.72;62.28;1408;17.404202719406676
13;8040;0.0;24.0;8.7;6.3;69654.0;3.0;9.0;13.0;36.1;63.9;1386;17.238805970149254
14;8041;0.0;24.0;8.3;6.1;66767.0;3.0;8.0;13.0;34.6;65.4;1401;17.423206068896903
15;8030;0.0;24.0;7.7;6.0;62111.0;2.0;8.0;11.0;32.23;67.77000000000001;1536;19.12826899128269
16;8040;0.0;24.0;7.2;5.8;57865.0;1.0;7.0;11.0;29.99;70.01;1553;19.31592039800995
17;8089;0.0;24.0;6.2;5.6;50490.0;1.0;5.0;10.0;26.01;73.99;1688;20.867845221906293
18;8087;0.0;24.0;5.5;5.3;44469.0;1.0;4.0;8.0;22.91;77.09;1852;22.900952145418575
19;8100;0.0;24.0;5.2;5.4;42023.0;0.0;4.0;8.0;21.62;78.38;2096;25.876543209876544
20;8100;0.0;24.0;4.8;5.5;39061.0;0.0;3.0;7.0;20.09;79.91;2128;26.271604938271604
21;8144;0.0;24.0;4.7;5.5;38499.0;0.0;3.0;7.0;19.7;80.3;2310;28.364440078585464
22;8146;0.0;24.0;4.7;5.5;38200.0;0.0;3.0;7.0;19.54;80.46000000000001;2255;27.68229806039774
23;8103;0.0;24.0;5.1;5.6;41210.0;0.0;3.0;7.0;21.19;78.81;2059;25.410341848698014
