hour;nb_data;min;max;mean;std;sum;Q1;median;Q3;taux_dispo;taux_occ;penurie;taux_penurie
0;14371;0.0;12.0;2.6;2.8;37282.0;0.0;2.0;4.0;21.62;78.38;4732;32.92742328300049
1;14398;0.0;12.0;2.8;2.9;40472.0;0.0;2.0;5.0;23.42;76.58;4641;32.23364356160578
2;14462;0.0;12.0;3.2;3.1;46112.0;0.0;3.0;5.0;26.57;73.43;4110;28.419305766837226
3;14368;0.0;12.0;3.6;3.3;52069.0;0.0;3.0;6.0;30.2;69.8;3965;27.596046770601333
4;14395;0.0;12.0;3.9;3.5;56610.0;0.0;3.0;7.0;32.77;67.22999999999999;3902;27.10663424800278
5;14415;0.0;12.0;4.2;3.7;60638.0;0.0;4.0;7.0;35.05;64.95;3746;25.986819285466527
6;14454;0.0;12.0;4.2;3.7;60824.0;0.0;4.0;7.0;35.07;64.93;3779;26.145011761450114
7;14396;0.0;12.0;4.1;3.7;59583.0;0.0;3.0;7.0;34.49;65.50999999999999;3825;26.569880522367324
8;14322;0.0;12.0;4.1;3.5;58326.0;0.0;4.0;7.0;33.94;66.06;3607;25.185030023739703
9;14283;0.0;12.0;4.3;3.6;61799.0;1.0;4.0;7.0;36.06;63.94;3458;24.21060001400266
10;14413;0.0;12.0;4.3;3.7;62377.0;0.0;4.0;7.0;36.07;63.93;3622;25.1300908901686
11;14560;0.0;12.0;4.4;3.7;63595.0;0.0;4.0;7.0;36.4;63.6;3746;25.728021978021975
12;14569;0.0;12.0;4.2;3.6;60733.0;0.0;4.0;7.0;34.74;65.25999999999999;3850;26.42597295627703
13;14520;0.0;12.0;4.0;3.6;58760.0;0.0;3.0;7.0;33.72;66.28;3895;26.825068870523417
14;14499;0.0;12.0;3.8;3.5;55317.0;0.0;3.0;7.0;31.79;68.21000000000001;3880;26.760466239050967
15;14418;0.0;12.0;3.6;3.3;51668.0;0.0;3.0;6.0;29.86;70.14;4109;28.499098349285617
16;14400;0.0;12.0;3.2;3.2;46647.0;0.0;2.0;6.0;26.99;73.01;4476;31.083333333333336
17;14449;0.0;12.0;2.8;3.1;41088.0;0.0;2.0;5.0;23.7;76.3;5100;35.29656031559277
18;14447;0.0;12.0;2.7;3.0;38348.0;0.0;2.0;5.0;22.12;77.88;5294;36.644286010936526
19;14460;0.0;12.0;2.4;2.9;35227.0;0.0;1.0;4.0;20.3;79.7;5415;37.448132780082986
20;14514;0.0;12.0;2.2;2.7;32549.0;0.0;1.0;4.0;18.69;81.31;5754;39.644481190574616
21;14510;0.0;12.0;2.2;2.8;32008.0;0.0;1.0;4.0;18.38;81.62;6153;42.4052377670572
22;14506;0.0;11.0;2.3;2.7;32943.0;0.0;1.0;4.0;18.92;81.08;5712;39.376809596029226
23;14462;0.0;11.0;2.4;2.8;35073.0;0.0;1.0;4.0;20.21;79.78999999999999;5081;35.13345318766422
