hour;nb_data;min;max;mean;std;sum;Q1;median;Q3;taux_dispo;taux_occ;penurie;taux_penurie
0;14371;0.0;8.0;4.1;2.3;59110.0;2.0;4.0;6.0;51.41;48.59;850;5.914689304850045
1;14398;0.0;8.0;4.3;2.3;62113.0;2.0;4.0;6.0;53.93;46.07;585;4.063064314488123
2;14462;0.0;8.0;4.5;2.3;65209.0;2.0;5.0;6.0;56.36;43.64;561;3.879131517079242
3;14368;0.0;8.0;4.7;2.3;67034.0;3.0;5.0;7.0;58.32;41.68;425;2.9579621380846324
4;14395;0.0;8.0;4.8;2.3;69002.0;3.0;5.0;7.0;59.92;40.08;371;2.577283779089962
5;14415;0.0;8.0;4.9;2.2;70172.0;3.0;5.0;7.0;60.85;39.15;348;2.414151925078044
6;14454;0.0;8.0;4.8;2.2;70085.0;3.0;5.0;7.0;60.61;39.39;348;2.4076380240763804
7;14396;0.0;8.0;4.7;2.2;68068.0;3.0;5.0;6.0;59.1;40.9;489;3.396776882467352
8;14322;0.0;8.0;4.5;2.2;64845.0;3.0;5.0;6.0;56.6;43.4;596;4.161429967881581
9;14283;0.0;8.0;4.1;2.3;58940.0;2.0;4.0;6.0;51.58;48.42;798;5.587061541692922
10;14496;0.0;8.0;4.0;2.2;58705.0;2.0;4.0;6.0;50.62;49.38;765;5.277317880794702
11;14588;0.0;8.0;4.0;2.2;58772.0;2.0;4.0;6.0;50.36;49.64;577;3.9553057307375927
12;14569;0.0;8.0;4.0;2.1;57791.0;2.0;4.0;6.0;49.58;50.42;610;4.186972338527009
13;14520;0.0;8.0;3.9;2.1;56662.0;2.0;4.0;6.0;48.78;51.22;704;4.848484848484849
14;14496;0.0;8.0;3.9;2.2;57111.0;2.0;4.0;6.0;49.25;50.75;666;4.594370860927152
15;14418;0.0;8.0;3.8;2.2;55040.0;2.0;4.0;5.0;47.72;52.28;789;5.472326258843112
16;14400;0.0;8.0;3.7;2.2;53820.0;2.0;4.0;5.0;46.72;53.28;821;5.701388888888889
17;14449;0.0;8.0;4.0;2.1;57259.0;2.0;4.0;6.0;49.54;50.46;582;4.027960412485293
18;14447;0.0;8.0;4.1;2.1;59337.0;2.0;4.0;6.0;51.34;48.66;479;3.3155672457949743
19;14460;0.0;8.0;4.1;2.2;59901.0;2.0;4.0;6.0;51.78;48.22;588;4.066390041493776
20;14514;0.0;8.0;4.2;2.2;60940.0;3.0;4.0;6.0;52.48;47.52;620;4.271737632630564
21;14510;0.0;8.0;4.1;2.3;59703.0;2.0;4.0;6.0;51.43;48.57;772;5.320468642315644
22;14506;0.0;8.0;4.0;2.3;58227.0;2.0;4.0;6.0;50.17;49.83;831;5.728664001102992
23;14462;0.0;8.0;4.0;2.3;57639.0;2.0;4.0;6.0;49.82;50.18;985;6.810952841930577
