hour;nb_data;min;max;mean;std;sum;Q1;median;Q3;taux_dispo;taux_occ;penurie;taux_penurie
0;14371;0.0;8.0;4.7;2.2;67096.0;3.0;5.0;6.0;58.36;41.64;379;2.6372555841625496
1;14398;0.0;8.0;4.8;2.1;69350.0;3.0;5.0;7.0;60.21;39.79;305;2.1183497708015
2;14462;0.0;8.0;4.9;2.2;70434.0;3.0;5.0;7.0;60.88;39.12;344;2.378647489973724
3;14368;0.0;8.0;5.0;2.2;71531.0;3.0;5.0;7.0;62.23;37.77;355;2.4707683741648108
4;14395;0.0;8.0;5.1;2.2;72950.0;4.0;5.0;7.0;63.35;36.65;360;2.5008683570684265
5;14415;0.0;8.0;5.1;2.2;73169.0;4.0;5.0;7.0;63.45;36.55;307;2.129725979882067
6;14454;0.0;8.0;5.1;2.2;73356.0;3.0;5.0;7.0;63.44;36.56;300;2.0755500207555
7;14396;0.0;8.0;5.1;2.2;72756.0;3.0;5.0;7.0;63.17;36.83;300;2.0839121978327313
8;14322;0.0;8.0;5.0;2.2;70988.0;3.0;5.0;7.0;61.96;38.04;286;1.9969278033794162
9;14283;0.0;8.0;4.8;2.1;69041.0;3.0;5.0;7.0;60.42;39.58;328;2.296436322901351
10;14496;0.0;8.0;4.7;2.1;68809.0;3.0;5.0;7.0;59.33;40.67;360;2.4834437086092715
11;14588;0.0;8.0;4.6;2.1;67522.0;3.0;5.0;6.0;57.86;42.14;348;2.385522347134631
12;14569;0.0;8.0;4.6;2.1;66766.0;3.0;5.0;6.0;57.28;42.72;288;1.9768000549111124
13;14520;0.0;8.0;4.6;2.1;66188.0;3.0;5.0;6.0;56.98;43.02;302;2.0798898071625342
14;14498;0.0;8.0;4.5;2.0;65159.0;3.0;4.0;6.0;56.18;43.82;310;2.138225962201683
15;14418;0.0;8.0;4.5;2.1;64975.0;3.0;4.0;6.0;56.33;43.67;327;2.267998335414066
16;14400;0.0;8.0;4.5;2.0;64612.0;3.0;4.0;6.0;56.09;43.91;424;2.944444444444444
17;14449;0.0;8.0;4.4;2.0;63817.0;3.0;4.0;6.0;55.21;44.79;449;3.1074814866080698
18;14447;0.0;8.0;4.5;2.0;64909.0;3.0;5.0;6.0;56.16;43.84;474;3.280957984356614
19;14460;0.0;8.0;4.5;2.0;65246.0;3.0;4.0;6.0;56.4;43.6;507;3.5062240663900415
20;14514;0.0;8.0;4.5;2.1;64862.0;3.0;4.0;6.0;55.86;44.14;502;3.4587295025492626
21;14510;0.0;8.0;4.4;2.2;64326.0;3.0;4.0;6.0;55.42;44.58;631;4.348725017229497
22;14506;0.0;8.0;4.5;2.2;65105.0;3.0;5.0;6.0;56.1;43.9;674;4.646353233144906
23;14462;0.0;8.0;4.6;2.2;65864.0;3.0;5.0;6.0;56.93;43.07;584;4.038168994606555
