hour;nb_data;min;max;mean;std;sum;Q1;median;Q3;taux_dispo;taux_occ;penurie;taux_penurie
0;14371;0.0;8.0;3.2;2.0;45291.0;2.0;3.0;5.0;39.39;60.61;1020;7.097627165820055
1;14398;0.0;8.0;3.1;2.0;45232.0;2.0;3.0;5.0;39.27;60.73;1024;7.112098902625365
2;14462;0.0;8.0;3.2;2.0;45894.0;2.0;3.0;5.0;39.67;60.33;1106;7.647628267182963
3;14368;0.0;8.0;3.2;2.0;46570.0;2.0;3.0;5.0;40.52;59.48;1080;7.5167037861915365
4;14395;0.0;8.0;3.3;2.1;48096.0;2.0;3.0;5.0;41.76;58.24;1051;7.301146231330323
5;14415;0.0;8.0;3.4;2.1;49184.0;2.0;3.0;5.0;42.65;57.35;927;6.4308012486992725
6;14454;0.0;8.0;3.4;2.1;49731.0;2.0;3.0;5.0;43.01;56.99;900;6.226650062266501
7;14396;0.0;8.0;3.5;2.2;49953.0;2.0;3.0;5.0;43.37;56.63;900;6.251736593498195
8;14322;0.0;8.0;3.5;2.2;49682.0;2.0;3.0;5.0;43.36;56.64;916;6.395754782851556
9;14283;0.0;8.0;3.5;2.1;49881.0;2.0;3.0;5.0;43.65;56.35;859;6.014142687110551
10;14496;0.0;8.0;3.5;2.0;51210.0;2.0;3.0;5.0;44.16;55.84;852;5.877483443708609
11;14588;0.0;8.0;3.5;2.0;50978.0;2.0;4.0;5.0;43.68;56.32;733;5.024677817384152
12;14569;0.0;8.0;3.5;2.0;50593.0;2.0;3.0;5.0;43.41;56.59;721;4.9488640263573345
13;14520;0.0;8.0;3.4;2.0;50060.0;2.0;4.0;5.0;43.1;56.9;795;5.475206611570248
14;14500;0.0;8.0;3.4;1.9;49481.0;2.0;3.0;5.0;42.66;57.34;867;5.979310344827586
15;14418;0.0;8.0;3.4;1.9;48642.0;2.0;3.0;5.0;42.17;57.83;931;6.457206269940352
16;14400;0.0;8.0;3.3;1.9;47916.0;2.0;3.0;5.0;41.59;58.41;1130;7.847222222222222
17;14449;0.0;8.0;3.2;2.0;46337.0;2.0;3.0;5.0;40.09;59.91;1179;8.159734237663505
18;14447;0.0;8.0;3.1;2.0;45382.0;2.0;3.0;5.0;39.27;60.73;1372;9.496781338686231
19;14460;0.0;8.0;3.1;2.0;44989.0;2.0;3.0;5.0;38.89;61.11;1334;9.225449515905948
20;14514;0.0;8.0;3.1;2.0;45370.0;2.0;3.0;5.0;39.07;60.93;1489;10.25906021772082
21;14510;0.0;8.0;3.1;2.0;45323.0;2.0;3.0;5.0;39.04;60.96;1404;9.676085458304618
22;14506;0.0;8.0;3.1;2.0;45238.0;2.0;3.0;5.0;38.98;61.02;1284;8.851509720115814
23;14462;0.0;8.0;3.1;2.0;45435.0;2.0;3.0;5.0;39.27;60.73;1121;7.751348361222514
