hour;nb_data;min;max;mean;std;sum;Q1;median;Q3;taux_dispo;taux_occ;penurie;taux_penurie
0;14371;0.0;8.0;3.9;2.2;56632.0;2.0;4.0;6.0;49.26;50.74;855;5.949481594878575
1;14398;0.0;8.0;4.1;2.2;58330.0;2.0;4.0;6.0;50.64;49.36;586;4.070009723572719
2;14462;0.0;8.0;4.1;2.2;59484.0;2.0;4.0;6.0;51.41;48.59;575;3.975936938182824
3;14368;0.0;8.0;4.2;2.2;60831.0;3.0;4.0;6.0;52.92;47.08;502;3.493875278396436
4;14395;0.0;8.0;4.3;2.2;62496.0;3.0;4.0;6.0;54.27;45.73;511;3.5498436957276835
5;14415;0.0;8.0;4.4;2.2;64016.0;3.0;4.0;6.0;55.51;44.49;514;3.565730142212973
6;14454;0.0;8.0;4.4;2.2;63116.0;3.0;4.0;6.0;54.58;45.42;492;3.4039020340390205
7;14396;0.0;8.0;4.3;2.2;62031.0;3.0;4.0;6.0;53.86;46.14;545;3.7857738260627953
8;14322;0.0;8.0;4.1;2.1;59283.0;3.0;4.0;6.0;51.74;48.26;578;4.03574919703952
9;14283;0.0;8.0;4.0;2.1;57396.0;2.0;4.0;6.0;50.23;49.77;593;4.151788839879577
10;14496;0.0;8.0;3.9;2.1;55979.0;2.0;4.0;6.0;48.27;51.73;721;4.9737858719646795
11;14588;0.0;8.0;3.7;2.1;54133.0;2.0;4.0;5.0;46.38;53.62;847;5.8061420345489445
12;14569;0.0;8.0;3.7;2.1;53202.0;2.0;4.0;5.0;45.65;54.35;968;6.644244629006796
13;14520;0.0;8.0;3.6;2.1;52147.0;2.0;3.0;5.0;44.89;55.11;1218;8.388429752066116
14;14500;0.0;8.0;3.5;2.1;51027.0;2.0;3.0;5.0;43.99;56.01;1279;8.820689655172414
15;14418;0.0;8.0;3.5;2.0;49924.0;2.0;3.0;5.0;43.28;56.72;1104;7.6570952975447355
16;14401;0.0;8.0;3.5;2.0;50047.0;2.0;3.0;5.0;43.44;56.56;1016;7.055065620443026
17;14449;0.0;8.0;3.5;2.1;50854.0;2.0;3.0;5.0;43.99;56.01;1055;7.301543359402035
18;14447;0.0;8.0;3.4;2.1;48702.0;2.0;3.0;5.0;42.14;57.86;1358;9.399875406658822
19;14460;0.0;8.0;3.5;2.2;50285.0;2.0;3.0;5.0;43.47;56.53;1167;8.070539419087137
20;14514;0.0;8.0;3.5;2.1;50318.0;2.0;3.0;5.0;43.34;56.66;1033;7.117266087915117
21;14510;0.0;8.0;3.5;2.2;51445.0;2.0;3.0;5.0;44.32;55.68;1073;7.3949000689179885
22;14506;0.0;8.0;3.7;2.2;53501.0;2.0;4.0;5.0;46.1;53.9;1038;7.155659727009513
23;14462;0.0;8.0;3.9;2.2;55850.0;2.0;4.0;6.0;48.27;51.73;1026;7.094454432305351
