hour;nb_data;min;max;mean;std;sum;Q1;median;Q3;taux_dispo;taux_occ;penurie;taux_penurie
0;14371;0.0;8.0;3.3;2.3;47710.0;1.0;3.0;5.0;41.5;58.5;1556;10.827360656878437
1;14398;0.0;8.0;3.1;2.4;44756.0;1.0;3.0;5.0;38.86;61.14;1839;12.772607306570357
2;14462;0.0;8.0;3.0;2.4;43848.0;1.0;3.0;5.0;37.9;62.1;2253;15.578758124740698
3;14368;0.0;8.0;3.0;2.3;42914.0;1.0;3.0;4.0;37.33;62.67;2207;15.360523385300667
4;14395;0.0;8.0;3.0;2.3;43449.0;1.0;3.0;5.0;37.73;62.27;2142;14.880166724557137
5;14415;0.0;8.0;3.2;2.4;45956.0;1.0;3.0;5.0;39.85;60.15;1882;13.055844606312869
6;14454;0.0;8.0;3.2;2.4;46831.0;1.0;3.0;5.0;40.5;59.5;1911;13.221253632212537
7;14396;0.0;8.0;3.3;2.4;47803.0;1.0;3.0;5.0;41.51;58.49;1887;13.107807724367879
8;14322;0.0;8.0;3.4;2.4;48661.0;1.0;3.0;5.0;42.47;57.53;1742;12.163105711492808
9;14283;0.0;8.0;3.5;2.4;49969.0;2.0;3.0;5.0;43.73;56.27;1501;10.508996709374781
10;14496;0.0;8.0;3.5;2.3;50060.0;2.0;3.0;5.0;43.17;56.83;1509;10.409768211920529
11;14588;0.0;8.0;3.5;2.2;50441.0;2.0;3.0;5.0;43.22;56.78;1269;8.698930627913354
12;14569;0.0;8.0;3.5;2.2;50604.0;2.0;3.0;5.0;43.42;56.58;1283;8.806369689065825
13;14520;0.0;8.0;3.5;2.2;51064.0;2.0;3.0;5.0;43.96;56.04;1310;9.022038567493112
14;14495;0.0;8.0;3.5;2.2;50912.0;2.0;3.0;5.0;43.9;56.1;1281;8.837530182821663
15;14418;0.0;8.0;3.5;2.2;50488.0;2.0;4.0;5.0;43.77;56.23;1159;8.038562907476765
16;14400;0.0;8.0;3.5;2.2;50334.0;2.0;3.0;5.0;43.69;56.31;1231;8.54861111111111
17;14449;0.0;8.0;3.5;2.2;50309.0;2.0;3.0;5.0;43.52;56.48;1435;9.931483147622673
18;14447;0.0;8.0;3.5;2.2;50342.0;2.0;3.0;5.0;43.56;56.44;1407;9.739046168754758
19;14460;0.0;8.0;3.5;2.2;50492.0;2.0;3.0;5.0;43.65;56.35;1298;8.976486860304288
20;14514;0.0;8.0;3.4;2.2;50040.0;2.0;3.0;5.0;43.1;56.9;1339;9.225575306600524
21;14510;0.0;8.0;3.4;2.2;49326.0;2.0;3.0;5.0;42.49;57.51;1401;9.655410062026188
22;14506;0.0;8.0;3.3;2.2;48561.0;1.0;3.0;5.0;41.85;58.15;1488;10.25782434854543
23;14462;0.0;8.0;3.4;2.3;48990.0;1.0;3.0;5.0;42.34;57.66;1532;10.593278937906236
