hour;nb_data;min;max;mean;std;sum;Q1;median;Q3;taux_dispo;taux_occ;penurie;taux_penurie
0;14371;0.0;7.0;2.6;1.9;37181.0;1.0;2.0;4.0;32.34;67.66;2079;14.46663419386264
1;14398;0.0;8.0;2.7;1.9;38460.0;1.0;2.0;4.0;33.39;66.61;1937;13.453257396860675
2;14462;0.0;8.0;2.7;1.9;39758.0;1.0;3.0;4.0;34.36;65.64;1770;12.238971096667127
3;14368;0.0;8.0;2.9;1.9;41710.0;1.0;3.0;4.0;36.29;63.71;1574;10.95489977728285
4;14395;0.0;8.0;3.0;1.9;42616.0;1.0;3.0;4.0;37.01;62.99;1463;10.163251128864188
5;14415;0.0;8.0;2.9;1.9;42359.0;1.0;3.0;4.0;36.73;63.27;1493;10.357266736038849
6;14454;0.0;8.0;2.9;1.9;42043.0;1.0;3.0;4.0;36.36;63.64;1401;9.692818596928186
7;14396;0.0;8.0;2.9;1.9;41828.0;1.0;3.0;4.0;36.32;63.68;1400;9.72492358988608
8;14322;0.0;8.0;2.9;1.9;41103.0;1.0;3.0;4.0;35.87;64.13;1461;10.201089233347298
9;14283;0.0;8.0;2.8;1.9;40664.0;1.0;3.0;4.0;35.59;64.41;1654;11.580200238045228
10;14496;0.0;8.0;2.9;1.9;41859.0;1.0;3.0;4.0;36.1;63.9;1588;10.954746136865342
11;14588;0.0;8.0;2.9;1.8;41908.0;1.0;3.0;4.0;35.91;64.09;1523;10.4400877433507
12;14569;0.0;7.0;2.8;1.8;40970.0;1.0;3.0;4.0;35.15;64.85;1465;10.055597501544375
13;14520;0.0;8.0;2.8;1.8;40733.0;1.0;3.0;4.0;35.07;64.93;1473;10.144628099173554
14;14499;0.0;8.0;2.8;1.8;40536.0;1.0;3.0;4.0;34.95;65.05;1434;9.89033726463894
15;14418;0.0;8.0;2.7;1.8;39405.0;1.0;3.0;4.0;34.16;65.84;1553;10.771258149535303
16;14401;0.0;8.0;2.7;1.8;38459.0;1.0;3.0;4.0;33.38;66.62;1842;12.790778418165406
17;14449;0.0;8.0;2.6;1.8;38146.0;1.0;2.0;4.0;33.0;67.0;2074;14.35393452834106
18;14447;0.0;8.0;2.6;1.8;38142.0;1.0;2.0;4.0;33.0;67.0;2020;13.982141621097805
19;14460;0.0;8.0;2.6;1.8;38104.0;1.0;3.0;4.0;32.94;67.06;2023;13.990318118948824
20;14514;0.0;8.0;2.6;1.8;37791.0;1.0;2.0;4.0;32.55;67.45;2042;14.069174590050984
21;14510;0.0;8.0;2.5;1.8;36964.0;1.0;2.0;4.0;31.84;68.16;2221;15.306685044796692
22;14506;0.0;7.0;2.5;1.8;36406.0;1.0;2.0;4.0;31.37;68.63;2451;16.89645663863229
23;14462;0.0;7.0;2.5;1.9;36221.0;1.0;2.0;4.0;31.31;68.69;2445;16.906375328446966
