hour;nb_data;min;max;mean;std;sum;Q1;median;Q3;taux_dispo;taux_occ;penurie;taux_penurie
0;14371;0.0;8.0;4.0;2.1;57319.0;3.0;4.0;6.0;49.86;50.14;953;6.631410479437756
1;14398;0.0;8.0;4.0;2.1;57414.0;3.0;4.0;6.0;49.85;50.15;960;6.66759272121128
2;14462;0.0;8.0;4.1;2.1;58903.0;3.0;4.0;6.0;50.91;49.09;888;6.140229567141474
3;14368;0.0;8.0;4.1;2.2;59290.0;3.0;4.0;6.0;51.58;48.42;900;6.26391982182628
4;14395;0.0;8.0;4.2;2.2;60306.0;3.0;4.0;6.0;52.37;47.63;900;6.252170892671066
5;14415;0.0;8.0;4.2;2.2;60926.0;3.0;4.0;6.0;52.83;47.17;856;5.9382587582379465
6;14454;0.0;8.0;4.2;2.2;61391.0;3.0;4.0;6.0;53.09;46.91;840;5.8115400581154
7;14396;0.0;8.0;4.3;2.2;61210.0;3.0;5.0;6.0;53.15;46.85;840;5.834954153931648
8;14322;0.0;8.0;4.2;2.2;60732.0;3.0;4.5;6.0;53.01;46.99;833;5.816226783968719
9;14283;0.0;8.0;4.2;2.1;59754.0;3.0;4.0;6.0;52.29;47.71;663;4.641881957571939
10;14496;0.0;8.0;4.1;2.0;59760.0;3.0;4.0;6.0;51.53;48.47;440;3.0353200883002205
11;14588;0.0;8.0;4.1;2.0;59441.0;3.0;4.0;6.0;50.93;49.07;444;3.0435974773786674
12;14569;0.0;8.0;4.1;2.0;59439.0;3.0;4.0;6.0;51.0;49.0;553;3.7957306609925183
13;14520;0.0;8.0;4.0;2.0;58691.0;3.0;4.0;6.0;50.53;49.47;669;4.607438016528926
14;14498;0.0;8.0;4.0;2.0;58102.0;3.0;4.0;5.0;50.09;49.91;760;5.242102358946061
15;14418;0.0;8.0;4.0;2.0;58330.0;3.0;4.0;6.0;50.57;49.43;732;5.076987099459009
16;14401;0.0;8.0;4.0;2.0;57686.0;3.0;4.0;6.0;50.07;49.93;742;5.152419970835358
17;14449;0.0;8.0;4.0;2.1;57123.0;2.0;4.0;5.0;49.42;50.58;789;5.460585507647588
18;14447;0.0;8.0;3.9;2.1;56634.0;2.0;4.0;5.0;49.0;51.0;825;5.71052813732955
19;14460;0.0;8.0;4.0;2.1;57146.0;2.0;4.0;5.0;49.4;50.6;1037;7.171507607192254
20;14514;0.0;8.0;4.0;2.1;57783.0;3.0;4.0;5.0;49.76;50.24;970;6.683202425244591
21;14510;0.0;8.0;4.0;2.1;57951.0;3.0;4.0;6.0;49.92;50.08;974;6.712611991729841
22;14506;0.0;8.0;4.0;2.1;58159.0;3.0;4.0;6.0;50.12;49.88;894;6.162967048118021
23;14462;0.0;8.0;4.0;2.1;57495.0;2.0;4.0;6.0;49.69;50.31;897;6.202461623565205
