hour;nb_data;min;max;mean;std;sum;Q1;median;Q3;taux_dispo;taux_occ;penurie;taux_penurie
0;14371;0.0;8.0;4.5;2.3;64862.0;2.0;5.0;6.0;56.42;43.58;123;0.8558903347018301
1;14398;0.0;8.0;4.9;2.3;69855.0;3.0;5.0;7.0;60.65;39.35;86;0.5973051812751772
2;14462;0.0;8.0;5.1;2.3;73076.0;3.0;6.0;7.0;63.16;36.84;149;1.0302862674595492
3;14368;0.0;8.0;5.2;2.3;75294.0;3.0;6.0;7.0;65.5;34.5;99;0.6890311804008908
4;14395;0.0;8.0;5.3;2.4;75825.0;3.0;6.0;7.0;65.84;34.16;120;0.8336227856894755
5;14415;0.0;8.0;5.2;2.4;75239.0;3.0;6.0;7.0;65.24;34.760000000000005;116;0.8047173083593478
6;14454;0.0;8.0;5.2;2.4;74897.0;3.0;6.0;7.0;64.77;35.230000000000004;162;1.1207970112079702
7;14396;0.0;8.0;5.1;2.4;73166.0;3.0;6.0;7.0;63.53;36.47;206;1.4309530425118089
8;14322;0.0;8.0;4.8;2.3;68798.0;3.0;6.0;7.0;60.05;39.95;317;2.2133780198296327
9;14283;0.0;8.0;4.5;2.3;64044.0;3.0;5.0;6.0;56.05;43.95;429;3.0035706784289014
10;14497;0.0;8.0;4.2;2.2;60281.0;2.0;5.0;6.0;51.98;48.02;502;3.4627854038766643
11;14588;0.0;8.0;3.9;2.1;57528.0;2.0;4.0;6.0;49.29;50.71;400;2.741979709350151
12;14569;0.0;8.0;3.8;2.1;55601.0;2.0;4.0;6.0;47.7;52.3;379;2.6014139611503877
13;14520;0.0;8.0;3.8;2.1;54853.0;2.0;4.0;6.0;47.22;52.78;424;2.9201101928374653
14;14495;0.0;8.0;3.7;2.1;53015.0;2.0;4.0;5.0;45.72;54.28;482;3.3252845808899623
15;14418;0.0;8.0;3.6;2.1;52250.0;2.0;4.0;5.0;45.3;54.7;446;3.0933555278124567
16;14401;0.0;8.0;3.6;2.1;51642.0;2.0;3.0;5.0;44.83;55.17;506;3.5136448857718214
17;14449;0.0;8.0;3.6;2.1;52317.0;2.0;3.0;5.0;45.26;54.74;471;3.2597411585576856
18;14447;0.0;8.0;3.7;2.1;53368.0;2.0;4.0;5.0;46.18;53.82;456;3.1563646431785144
19;14460;0.0;8.0;3.7;2.1;53014.0;2.0;4.0;5.0;45.83;54.17;487;3.367911479944675
20;14514;0.0;8.0;3.7;2.2;53073.0;2.0;4.0;5.0;45.71;54.29;372;2.563042579578338
21;14510;0.0;8.0;3.7;2.1;53005.0;2.0;4.0;5.0;45.66;54.34;422;2.908339076498966
22;14506;0.0;8.0;3.7;2.1;54127.0;2.0;4.0;5.0;46.64;53.36;429;2.9573969391975736
23;14462;0.0;8.0;4.0;2.2;58519.0;2.0;4.0;6.0;50.58;49.42;239;1.652606831696861
