hour;nb_data;min;max;mean;std;sum;Q1;median;Q3;taux_dispo;taux_occ;penurie;taux_penurie
0;14371;0.0;8.0;4.3;2.2;61558.0;3.0;4.0;6.0;53.54;46.46;472;3.284392178693202
1;14398;0.0;8.0;4.8;2.2;68795.0;3.0;5.0;7.0;59.73;40.27;208;1.4446450895957772
2;14462;0.0;8.0;5.0;2.2;72969.0;3.0;5.0;7.0;63.07;36.93;156;1.07868897801134
3;14368;0.0;8.0;5.2;2.2;74220.0;3.0;5.0;7.0;64.57;35.43000000000001;169;1.1762249443207127
4;14395;0.0;8.0;5.3;2.2;75987.0;3.0;6.0;7.0;65.98;34.019999999999996;79;0.5488016672455713
5;14415;0.0;8.0;5.3;2.2;76298.0;4.0;6.0;7.0;66.16;33.84;41;0.2844259451959764
6;14454;0.0;8.0;5.2;2.2;75209.0;4.0;6.0;7.0;65.04;34.959999999999994;65;0.44970250449702504
7;14396;0.0;8.0;5.0;2.3;72003.0;3.0;5.0;7.0;62.52;37.48;220;1.5282022784106695
8;14322;0.0;8.0;4.6;2.4;66498.0;3.0;5.0;7.0;58.04;41.96;702;4.901550062840386
9;14283;0.0;8.0;4.3;2.3;60860.0;2.0;4.0;6.0;53.26;46.74;786;5.503045578659945
10;14496;0.0;8.0;4.0;2.2;57537.0;2.0;4.0;6.0;49.61;50.39;911;6.284492273730684
11;14588;0.0;8.0;3.6;2.1;52314.0;2.0;4.0;5.0;44.83;55.17;1143;7.835207019468056
12;14569;0.0;8.0;3.3;2.1;48562.0;2.0;3.0;5.0;41.67;58.33;1607;11.030269750840827
13;14520;0.0;8.0;3.2;2.1;46076.0;2.0;3.0;5.0;39.67;60.33;1796;12.369146005509641
14;14497;0.0;8.0;3.2;2.1;46238.0;2.0;3.0;5.0;39.87;60.13;1717;11.843829757880942
15;14418;0.0;8.0;3.1;2.1;44813.0;1.0;3.0;4.0;38.85;61.15;1566;10.861423220973784
16;14401;0.0;8.0;2.9;2.0;41833.0;1.0;3.0;4.0;36.31;63.69;1819;12.631067286993957
17;14449;0.0;8.0;2.7;2.0;38524.0;1.0;2.0;4.0;33.33;66.67;1995;13.80718388815835
18;14446;0.0;8.0;2.5;2.0;35572.0;1.0;2.0;4.0;30.78;69.22;2591;17.935760764225392
19;14460;0.0;8.0;2.5;2.1;35659.0;1.0;2.0;4.0;30.83;69.17;2767;19.13554633471646
20;14514;0.0;8.0;2.6;2.1;37075.0;1.0;2.0;4.0;31.93;68.07;2671;18.402921317348767
21;14510;0.0;8.0;2.8;2.2;40143.0;1.0;2.0;5.0;34.58;65.42;2478;17.077877325982083
22;14506;0.0;8.0;3.0;2.2;43988.0;1.0;3.0;5.0;37.91;62.09;1972;13.59437474148628
23;14462;0.0;8.0;3.6;2.2;51804.0;2.0;3.0;5.0;44.78;55.22;865;5.981192089614161
