hour;nb_data;min;max;mean;std;sum;Q1;median;Q3;taux_dispo;taux_occ;penurie;taux_penurie
0;14371;0.0;8.0;2.0;1.9;28248.0;0.0;2.0;3.0;24.57;75.43;3809;26.50476654373391
1;14398;0.0;8.0;2.0;1.8;28734.0;1.0;2.0;3.0;24.95;75.05;3442;23.906098069176274
2;14462;0.0;8.0;2.0;1.8;28570.0;1.0;2.0;3.0;24.69;75.31;3430;23.71732817037754
3;14368;0.0;8.0;2.0;1.8;29044.0;1.0;2.0;3.0;25.27;74.73;3274;22.786748329621382
4;14395;0.0;8.0;2.1;1.8;30034.0;1.0;2.0;3.0;26.08;73.92;3100;21.535255296978118
5;14415;0.0;8.0;2.1;1.8;30689.0;1.0;2.0;3.0;26.61;73.39;2955;20.499479708636837
6;14454;0.0;8.0;2.1;1.8;30743.0;1.0;2.0;3.0;26.59;73.41;2975;20.582537705825377
7;14396;0.0;8.0;2.1;1.8;30379.0;1.0;2.0;3.0;26.38;73.62;2957;20.540427896637954
8;14322;0.0;8.0;2.1;1.8;30361.0;1.0;2.0;3.0;26.5;73.5;2793;19.501466275659823
9;14283;0.0;8.0;2.2;1.9;30918.0;1.0;2.0;3.0;27.06;72.94;2907;20.352867044738502
10;14496;0.0;8.0;2.3;1.8;33489.0;1.0;2.0;4.0;28.88;71.12;2543;17.54277041942605
11;14588;0.0;8.0;2.4;1.8;35045.0;1.0;2.0;4.0;30.03;69.97;2352;16.122840690978887
12;14569;0.0;8.0;2.3;1.8;34197.0;1.0;2.0;4.0;29.34;70.66;2483;17.043036584528796
13;14520;0.0;8.0;2.4;1.8;34222.0;1.0;2.0;4.0;29.46;70.53999999999999;2508;17.272727272727273
14;14502;0.0;8.0;2.3;1.8;33705.0;1.0;2.0;4.0;29.05;70.95;2600;17.92856157771342
15;14418;0.0;8.0;2.3;1.8;33776.0;1.0;2.0;4.0;29.28;70.72;2419;16.777639062283257
16;14401;0.0;8.0;2.3;1.8;32876.0;1.0;2.0;3.0;28.54;71.46000000000001;2637;18.311228386917573
17;14449;0.0;8.0;2.1;1.8;30479.0;1.0;2.0;3.0;26.37;73.63;3007;20.81112879784068
18;14446;0.0;8.0;2.0;1.8;28695.0;1.0;2.0;3.0;24.83;75.17;3361;23.265955973972034
19;14460;0.0;8.0;1.9;1.8;27002.0;0.0;1.0;3.0;23.34;76.66;4026;27.842323651452283
20;14514;0.0;8.0;1.9;1.8;26869.0;0.0;1.0;3.0;23.14;76.86;4408;30.370676588121814
21;14510;0.0;8.0;1.9;1.8;26871.0;0.0;1.0;3.0;23.15;76.85;4423;30.482425913163336
22;14506;0.0;8.0;1.8;1.8;26787.0;0.0;1.0;3.0;23.08;76.92;4361;30.06342203226251
23;14462;0.0;8.0;1.9;1.8;27822.0;0.0;1.0;3.0;24.05;75.95;3956;27.35444613469783
