hour;nb_data;min;max;mean;std;sum;Q1;median;Q3;taux_dispo;taux_occ;penurie;taux_penurie
0;14371;0.0;8.0;2.1;1.7;30379.0;1.0;2.0;3.0;26.42;73.58;2919;20.311738918655625
1;14398;0.0;8.0;2.2;1.8;31254.0;1.0;2.0;3.0;27.13;72.87;2799;19.440200027781636
2;14462;0.0;8.0;2.3;1.8;33244.0;1.0;2.0;3.0;28.73;71.27;2756;19.056838611533674
3;14368;0.0;8.0;2.5;1.8;35296.0;1.0;2.0;4.0;30.71;69.28999999999999;2351;16.362750556792875
4;14395;0.0;8.0;2.6;1.9;37321.0;1.0;2.0;4.0;32.41;67.59;2045;14.206321639458144
5;14415;0.0;8.0;2.6;1.9;36871.0;1.0;2.0;4.0;31.97;68.03;2083;14.450225459590705
6;14454;0.0;8.0;2.5;1.9;36744.0;1.0;2.0;4.0;31.78;68.22;2044;14.14141414141414
7;14396;0.0;8.0;2.5;1.9;36708.0;1.0;2.0;4.0;31.87;68.13;2071;14.385940539038621
8;14322;0.0;8.0;2.5;1.9;36082.0;1.0;2.0;4.0;31.49;68.51;2195;15.32607177768468
9;14283;0.0;8.0;2.6;1.9;36483.0;1.0;2.0;4.0;31.93;68.07;2349;16.446124763705104
10;14496;0.0;8.0;2.7;1.9;38610.0;1.0;3.0;4.0;33.29;66.71000000000001;2070;14.27980132450331
11;14588;0.0;8.0;2.7;1.9;38825.0;1.0;3.0;4.0;33.27;66.72999999999999;1778;12.18809980806142
12;14569;0.0;8.0;2.6;1.9;37870.0;1.0;2.0;4.0;32.49;67.50999999999999;1945;13.350264259729563
13;14520;0.0;8.0;2.7;1.8;38689.0;1.0;3.0;4.0;33.31;66.69;1701;11.714876033057852
14;14502;0.0;8.0;2.7;1.8;38453.0;1.0;2.0;4.0;33.14;66.86;1755;12.101779064956558
15;14418;0.0;8.0;2.6;1.8;38010.0;1.0;2.0;4.0;32.95;67.05;1887;13.087806908031627
16;14401;0.0;8.0;2.6;1.8;37306.0;1.0;2.0;4.0;32.38;67.62;1953;13.561558225123255
17;14449;0.0;8.0;2.5;1.8;36259.0;1.0;2.0;4.0;31.37;68.63;2166;14.990656792857637
18;14446;0.0;8.0;2.4;1.8;34785.0;1.0;2.0;4.0;30.1;69.9;2358;16.32285753841894
19;14460;0.0;8.0;2.3;1.8;33856.0;1.0;2.0;4.0;29.27;70.73;2535;17.531120331950206
20;14514;0.0;8.0;2.3;1.8;32727.0;1.0;2.0;3.0;28.19;71.81;2778;19.140140553947912
21;14510;0.0;8.0;2.2;1.8;32198.0;1.0;2.0;3.0;27.74;72.26;2833;19.52446588559614
22;14506;0.0;8.0;2.1;1.8;30217.0;1.0;2.0;3.0;26.04;73.96000000000001;3328;22.94223080104784
23;14462;0.0;8.0;2.1;1.8;30169.0;1.0;2.0;3.0;26.08;73.92;3135;21.677499654266352
