hour;nb_data;min;max;mean;std;sum;Q1;median;Q3;taux_dispo;taux_occ;penurie;taux_penurie
0;14371;0.0;8.0;4.2;2.4;60452.0;2.0;4.0;6.0;52.58;47.42;932;6.485282861317931
1;14398;0.0;8.0;4.2;2.4;59918.0;2.0;4.0;6.0;52.02;47.98;853;5.924433949159606
2;14462;0.0;8.0;4.1;2.5;59484.0;2.0;4.0;6.0;51.41;48.59;1037;7.170515834601024
3;14368;0.0;8.0;4.0;2.5;57586.0;2.0;4.0;6.0;50.1;49.9;1114;7.753340757238307
4;14395;0.0;8.0;3.9;2.5;55423.0;2.0;4.0;6.0;48.13;51.87;1329;9.232372351510941
5;14415;0.0;8.0;3.9;2.5;55542.0;2.0;4.0;6.0;48.16;51.84;1312;9.101630246271245
6;14454;0.0;8.0;4.1;2.5;59166.0;2.0;4.0;6.0;51.17;48.83;886;6.129791061297911
7;14396;0.0;8.0;4.2;2.4;60780.0;2.0;4.0;6.0;52.78;47.22;693;4.8138371769936095
8;14322;0.0;8.0;4.2;2.3;60804.0;2.0;4.0;6.0;53.07;46.93;574;4.007820136852395
9;14283;0.0;8.0;4.2;2.2;60305.0;2.0;4.0;6.0;52.78;47.22;491;3.4376531540992787
10;14496;0.0;8.0;4.1;2.1;59525.0;2.0;4.0;6.0;51.33;48.67;472;3.2560706401766004
11;14588;0.0;8.0;4.0;2.1;57623.0;2.0;4.0;6.0;49.38;50.62;669;4.585961063888127
12;14569;0.0;8.0;4.0;2.1;58819.0;2.0;4.0;6.0;50.47;49.53;620;4.255611229322534
13;14520;0.0;8.0;4.0;2.2;58681.0;2.0;4.0;6.0;50.52;49.48;570;3.925619834710744
14;14498;0.0;8.0;4.0;2.2;58000.0;2.0;4.0;6.0;50.01;49.99;507;3.497034073665333
15;14418;0.0;8.0;4.0;2.1;57468.0;2.0;4.0;6.0;49.82;50.18;593;4.112914412539881
16;14401;0.0;8.0;4.0;2.1;58010.0;2.0;4.0;6.0;50.35;49.65;537;3.7289077147420318
17;14449;0.0;8.0;4.1;2.2;58545.0;2.0;4.0;6.0;50.65;49.35;684;4.7338916187971485
18;14446;0.0;8.0;4.3;2.3;62700.0;3.0;4.0;6.0;54.25;45.75;635;4.395680465180673
19;14460;0.0;8.0;4.5;2.3;65703.0;3.0;5.0;6.0;56.8;43.2;543;3.7551867219917012
20;14514;0.0;8.0;4.6;2.3;66297.0;3.0;5.0;6.0;57.1;42.9;763;5.256993247898581
21;14510;0.0;8.0;4.6;2.3;66226.0;3.0;5.0;6.0;57.05;42.95;601;4.14197105444521
22;14506;0.0;8.0;4.5;2.4;64887.0;3.0;5.0;6.0;55.91;44.09;809;5.57700261960568
23;14462;0.0;8.0;4.3;2.4;62286.0;3.0;4.0;6.0;53.84;46.16;1124;7.772092380030425
