hour;nb_data;min;max;mean;std;sum;Q1;median;Q3;taux_dispo;taux_occ;penurie;taux_penurie
0;14371;0.0;9.0;2.4;2.0;34234.0;1.0;2.0;3.0;19.85;80.15;2743;19.08705030965138
1;14398;0.0;9.0;2.2;1.9;32112.0;1.0;2.0;3.0;18.59;81.41;2837;19.70412557299625
2;14462;0.0;10.0;2.1;1.9;31081.0;1.0;2.0;3.0;17.91;82.09;3141;21.718987691882173
3;14368;0.0;10.0;2.0;1.9;29369.0;1.0;2.0;3.0;17.03;82.97;3397;23.64281737193764
4;14395;0.0;9.0;2.0;1.9;28409.0;0.0;2.0;3.0;16.45;83.55;3746;26.022924626606457
5;14415;0.0;9.0;2.0;1.8;28654.0;0.0;2.0;3.0;16.56;83.44;3744;25.972944849115503
6;14454;0.0;9.0;2.0;1.8;29155.0;0.0;2.0;3.0;16.81;83.19;3668;25.377058253770585
7;14396;0.0;9.0;2.0;1.8;29234.0;0.0;2.0;3.0;16.92;83.08;3610;25.076410113920534
8;14322;0.0;9.0;2.0;1.8;29230.0;1.0;2.0;3.0;17.01;82.99;3370;23.53023320765256
9;14283;0.0;9.0;2.1;1.9;29533.0;0.0;2.0;3.0;17.23;82.77;3638;25.470839459497302
10;14496;0.0;9.0;2.2;1.9;31571.0;1.0;2.0;3.0;18.15;81.85;3559;24.551600441501105
11;14588;0.0;9.0;2.2;1.9;31765.0;1.0;2.0;3.0;18.15;81.85;3578;24.5270085001371
12;14569;0.0;9.0;2.1;1.9;30895.0;1.0;2.0;3.0;17.67;82.33;3642;24.99828402773011
13;14520;0.0;8.0;2.0;1.8;29608.0;0.0;2.0;3.0;16.99;83.01;3725;25.654269972451793
14;14497;0.0;8.0;2.1;1.8;29768.0;0.0;2.0;3.0;17.11;82.89;3678;25.370766365454923
15;14418;0.0;9.0;2.1;1.8;29982.0;1.0;2.0;3.0;17.33;82.67;3526;24.455541684006104
16;14401;0.0;9.0;2.1;1.8;30196.0;1.0;2.0;3.0;17.47;82.53;3276;22.74842024859385
17;14449;0.0;9.0;2.2;1.9;32037.0;1.0;2.0;3.0;18.48;81.52;2825;19.551526057166583
18;14446;0.0;10.0;2.3;1.9;32663.0;1.0;2.0;3.0;18.84;81.16;2754;19.064100789145787
19;14460;0.0;12.0;2.3;2.0;33584.0;1.0;2.0;4.0;19.35;80.65;2775;19.19087136929461
20;14514;0.0;12.0;2.4;2.0;34348.0;1.0;2.0;4.0;19.72;80.28;2872;19.787791098249965
21;14510;0.0;12.0;2.4;2.0;34277.0;1.0;2.0;3.0;19.69;80.31;2916;20.096485182632666
22;14506;0.0;12.0;2.4;2.1;35164.0;1.0;2.0;3.0;20.2;79.8;2743;18.90941679305115
23;14462;0.0;11.0;2.4;2.0;34976.0;1.0;2.0;4.0;20.15;79.85;2796;19.333425528972477
