hour;nb_data;min;max;mean;std;sum;Q1;median;Q3;taux_dispo;taux_occ;penurie;taux_penurie
0;14371;0.0;8.0;3.8;2.0;55214.0;2.0;4.0;5.0;48.03;51.97;600;4.175074803423561
1;14398;0.0;8.0;3.9;2.0;55649.0;2.0;4.0;5.0;48.31;51.69;600;4.16724545075705
2;14462;0.0;8.0;3.9;2.1;56490.0;2.0;4.0;6.0;48.83;51.17;657;4.542940118932375
3;14368;0.0;8.0;3.9;2.1;56001.0;2.0;4.0;5.0;48.72;51.28;693;4.823218262806236
4;14395;0.0;8.0;3.9;2.1;55434.0;2.0;4.0;5.0;48.14;51.86;780;5.418548106981591
5;14415;0.0;8.0;3.9;2.1;55648.0;2.0;4.0;5.0;48.26;51.74;780;5.411030176899064
6;14454;0.0;8.0;3.9;2.1;56446.0;2.0;4.0;5.0;48.82;51.18;755;5.223467552234676
7;14396;0.0;8.0;3.8;2.0;54353.0;2.0;4.0;5.0;47.19;52.81;774;5.376493470408446
8;14322;0.0;8.0;3.6;2.0;50960.0;2.0;3.0;5.0;44.48;55.52;1022;7.1358748778103624
9;14283;0.0;8.0;3.5;2.0;49341.0;2.0;3.0;5.0;43.18;56.82;1161;8.128544423440454
10;14496;0.0;8.0;3.4;2.0;49174.0;2.0;3.0;5.0;42.4;57.6;1106;7.629690949227373
11;14588;0.0;8.0;3.3;1.9;48671.0;2.0;3.0;5.0;41.7;58.3;1130;7.746092678914176
12;14569;0.0;8.0;3.3;1.9;48633.0;2.0;3.0;5.0;41.73;58.27;1076;7.385544649598462
13;14520;0.0;8.0;3.4;1.9;48656.0;2.0;3.0;5.0;41.89;58.11;959;6.604683195592287
14;14505;0.0;8.0;3.3;1.9;48362.0;2.0;3.0;5.0;41.68;58.32;906;6.246122026887281
15;14418;0.0;8.0;3.3;1.9;47333.0;2.0;3.0;5.0;41.04;58.96;1015;7.039811346927452
16;14401;0.0;8.0;3.3;1.9;47368.0;2.0;3.0;5.0;41.12;58.88;1028;7.13839316714117
17;14449;0.0;8.0;3.5;2.0;50312.0;2.0;3.0;5.0;43.53;56.47;916;6.339539068447643
18;14446;0.0;8.0;3.6;2.0;52470.0;2.0;4.0;5.0;45.4;54.6;691;4.783331025889519
19;14460;0.0;8.0;3.7;2.0;53217.0;2.0;4.0;5.0;46.0;54.0;701;4.847856154910097
20;14514;0.0;8.0;3.7;2.0;54045.0;2.0;4.0;5.0;46.55;53.45;630;4.34063662670525
21;14510;0.0;8.0;3.7;2.0;53899.0;2.0;4.0;5.0;46.43;53.57;635;4.376292212267402
22;14506;0.0;8.0;3.8;2.0;54459.0;2.0;4.0;5.0;46.93;53.07;660;4.549841444919344
23;14462;0.0;8.0;3.8;2.0;54816.0;2.0;4.0;5.0;47.38;52.62;659;4.556769464804314
