hour;nb_data;min;max;mean;std;sum;Q1;median;Q3;taux_dispo;taux_occ;penurie;taux_penurie
0;14371;0.0;8.0;3.2;2.2;45353.0;1.0;3.0;5.0;39.45;60.55;1874;13.040150302692924
1;14398;0.0;8.0;3.2;2.3;46688.0;1.0;3.0;5.0;40.53;59.47;1876;13.029587442700375
2;14462;0.0;8.0;3.3;2.3;47678.0;1.0;3.0;5.0;41.21;58.79;1770;12.238971096667127
3;14368;0.0;8.0;3.3;2.3;47958.0;2.0;3.0;5.0;41.72;58.28;1740;12.110244988864142
4;14395;0.0;8.0;3.4;2.3;48318.0;2.0;3.0;5.0;41.96;58.04;1704;11.837443556790554
5;14415;0.0;8.0;3.4;2.3;48530.0;2.0;3.0;5.0;42.08;57.92;1680;11.65452653485952
6;14454;0.0;8.0;3.3;2.3;48406.0;2.0;3.0;5.0;41.86;58.14;1680;11.6230801162308
7;14396;0.0;8.0;3.3;2.3;48091.0;2.0;3.0;5.0;41.76;58.24;1664;11.558766323978883
8;14322;0.0;8.0;3.3;2.3;47497.0;2.0;3.0;5.0;41.45;58.55;1758;12.274821952241307
9;14283;0.0;8.0;3.3;2.3;47341.0;2.0;3.0;5.0;41.43;58.57;1648;11.53819225652874
10;14496;0.0;8.0;3.3;2.2;47254.0;2.0;3.0;5.0;40.75;59.25;1660;11.451434878587197
11;14588;0.0;8.0;3.3;2.2;48017.0;2.0;3.0;5.0;41.14;58.86;1642;11.255826706882369
12;14569;0.0;8.0;3.3;2.2;48068.0;2.0;3.0;5.0;41.24;58.76;1580;10.84494474569291
13;14520;0.0;8.0;3.2;2.2;47052.0;2.0;3.0;5.0;40.51;59.49;1670;11.501377410468319
14;14499;0.0;8.0;3.2;2.2;46918.0;2.0;3.0;5.0;40.45;59.55;1656;11.421477343265053
15;14418;0.0;8.0;3.2;2.2;45558.0;1.0;3.0;5.0;39.5;60.5;1744;12.095991122208352
16;14401;0.0;8.0;3.1;2.2;44395.0;1.0;3.0;4.0;38.53;61.47;1734;12.040830497882093
17;14449;0.0;8.0;3.1;2.2;44317.0;1.0;3.0;5.0;38.34;61.66;1806;12.499134888227559
18;14446;0.0;8.0;3.1;2.2;44194.0;1.0;3.0;5.0;38.24;61.76;1990;13.775439568046519
19;14460;0.0;8.0;3.0;2.2;43936.0;1.0;3.0;4.0;37.98;62.02;2153;14.889349930843707
20;14514;0.0;8.0;3.0;2.2;43933.0;1.0;3.0;5.0;37.84;62.16;2114;14.565247347388729
21;14510;0.0;8.0;3.0;2.2;43891.0;1.0;3.0;4.0;37.81;62.19;1909;13.15644383184011
22;14506;0.0;8.0;3.0;2.1;43830.0;1.0;3.0;4.0;37.77;62.23;1800;12.408658486143665
23;14462;0.0;8.0;3.1;2.2;44513.0;1.0;3.0;5.0;38.47;61.53;1869;12.92352371732817
