hour;nb_data;min;max;mean;std;sum;Q1;median;Q3;taux_dispo;taux_occ;penurie;taux_penurie
0;14371;2.0;67.0;38.4;13.9;552148.0;26.0;39.0;51.0;56.5;43.5;0;0.0
1;14398;4.0;67.0;38.5;13.8;554746.0;26.0;39.0;51.0;56.66;43.34;0;0.0
2;14462;4.0;67.0;38.6;13.8;558406.0;26.0;39.0;51.0;56.78;43.22;0;0.0
3;14368;4.0;67.0;38.7;13.8;555512.0;26.0;39.0;51.0;56.86;43.14;0;0.0
4;14395;6.0;67.0;38.8;13.8;557977.0;27.0;39.0;51.0;57.0;43.0;0;0.0
5;14415;6.0;68.0;38.8;13.7;559453.0;27.0;39.0;51.0;57.07;42.93;0;0.0
6;14454;6.0;68.0;38.9;13.7;562038.0;27.0;39.0;51.0;57.18;42.82;0;0.0
7;14396;6.0;68.0;38.8;13.7;558833.0;27.0;39.0;50.0;57.09;42.91;0;0.0
8;14322;6.0;68.0;38.4;13.4;550564.0;27.0;39.0;50.0;56.53;43.47;0;0.0
9;14283;5.0;68.0;38.2;13.3;545874.0;26.0;38.0;50.0;56.2;43.8;0;0.0
10;14496;5.0;68.0;37.5;13.5;543289.0;25.0;37.0;49.0;55.12;44.88;0;0.0
11;14588;5.0;67.0;36.4;13.6;531203.0;24.0;35.0;48.0;53.55;46.45;0;0.0
12;14569;1.0;66.0;34.9;13.9;508414.0;23.0;33.0;47.0;51.32;48.68;0;0.0
13;14520;0.0;67.0;33.1;14.1;481051.0;22.0;31.0;46.0;48.72;51.28;7;0.048209366391184574
14;14499;0.0;67.0;31.2;14.5;452070.0;21.0;29.0;43.0;45.85;54.15;69;0.4758948893027105
15;14418;0.0;67.0;29.4;14.7;423406.0;18.0;27.0;41.0;43.19;56.81;52;0.36066028575391873
16;14401;1.0;67.0;28.9;14.8;416397.0;18.0;25.0;41.0;42.52;57.48;0;0.0
17;14449;3.0;65.0;30.7;14.5;443036.0;20.0;28.0;44.0;45.09;54.91;0;0.0
18;14446;2.0;67.0;33.5;14.5;483765.0;22.0;31.0;47.0;49.25;50.75;0;0.0
19;14460;2.0;67.0;35.8;14.3;517232.0;24.0;34.0;49.0;52.6;47.4;0;0.0
20;14514;0.0;67.0;36.9;14.3;535643.0;25.0;36.0;49.0;54.27;45.73;2;0.013779798814937303
21;14510;2.0;67.0;37.5;14.1;544831.0;26.0;37.0;49.0;55.22;44.78;0;0.0
22;14506;2.0;67.0;37.9;14.1;549606.0;26.0;38.0;50.0;55.72;44.28;0;0.0
23;14462;2.0;67.0;38.2;14.1;551735.0;26.0;39.0;50.0;56.1;43.9;0;0.0
