hour;nb_data;min;max;mean;std;sum;Q1;median;Q3;taux_dispo;taux_occ;penurie;taux_penurie
0;14371;0.0;12.0;3.5;2.7;50613.0;1.0;3.0;5.0;29.35;70.65;1909;13.28369633289263
1;14398;0.0;12.0;3.3;2.8;47585.0;1.0;3.0;5.0;27.54;72.46000000000001;2295;15.939713849145715
2;14462;0.0;12.0;3.1;2.7;44258.0;1.0;2.0;5.0;25.5;74.5;2731;18.88397178813442
3;14368;0.0;12.0;2.9;2.7;41501.0;1.0;2.0;4.0;24.07;75.93;3203;22.29259465478842
4;14395;0.0;12.0;2.7;2.6;38956.0;1.0;2.0;4.0;22.55;77.45;3466;24.07780479333102
5;14415;0.0;11.0;2.6;2.5;36959.0;0.0;2.0;4.0;21.37;78.63;3631;25.189039195282692
6;14454;0.0;11.0;2.5;2.5;36808.0;0.0;2.0;4.0;21.22;78.78;3793;26.241870762418706
7;14396;0.0;11.0;2.6;2.5;38010.0;1.0;2.0;4.0;22.0;78.0;3588;24.923589886079466
8;14322;0.0;10.0;2.9;2.5;41801.0;1.0;2.0;5.0;24.32;75.68;2872;20.053065214355538
9;14283;0.0;11.0;3.3;2.6;47711.0;1.0;3.0;5.0;27.84;72.16;2169;15.18588531821046
10;14496;0.0;11.0;3.6;2.6;52598.0;2.0;3.0;6.0;30.24;69.76;1717;11.844646799116997
11;14588;0.0;11.0;3.8;2.5;55927.0;2.0;3.0;6.0;31.95;68.05;1311;8.98683849739512
12;14568;0.0;11.0;3.9;2.6;56564.0;2.0;4.0;6.0;32.36;67.64;1399;9.603239978034047
13;14520;0.0;11.0;4.1;2.6;59408.0;2.0;4.0;6.0;34.1;65.9;1063;7.3209366391184565
14;14501;0.0;11.0;4.1;2.7;59946.0;2.0;4.0;6.0;34.45;65.55;1137;7.840838562857734
15;14418;0.0;12.0;4.1;2.7;59131.0;2.0;4.0;6.0;34.18;65.82;1338;9.28006658343737
16;14401;0.0;12.0;4.1;2.7;59483.0;2.0;4.0;6.0;34.42;65.58;1201;8.339698632039442
17;14449;0.0;11.0;4.1;2.6;59179.0;2.0;4.0;6.0;34.13;65.87;987;6.830922555194132
18;14446;0.0;12.0;4.0;2.6;58298.0;2.0;4.0;6.0;33.63;66.37;1042;7.2130693617610415
19;14460;0.0;12.0;4.0;2.7;58299.0;2.0;4.0;6.0;33.6;66.4;1139;7.876901798063623
20;14514;0.0;12.0;4.1;2.7;59102.0;2.0;4.0;6.0;33.93;66.07;1262;8.695053052225438
21;14510;0.0;12.0;4.0;2.8;58473.0;2.0;4.0;6.0;33.58;66.42;1125;7.753273604410752
22;14506;0.0;12.0;4.0;2.8;57583.0;2.0;3.0;6.0;33.08;66.92;1066;7.348683303460637
23;14462;0.0;12.0;3.8;2.7;54484.0;2.0;3.0;5.0;31.39;68.61;1420;9.818835569077583
