hour;nb_data;min;max;mean;std;sum;Q1;median;Q3;taux_dispo;taux_occ;penurie;taux_penurie
0;14371;0.0;8.0;3.3;2.2;48099.0;2.0;3.0;5.0;41.84;58.16;1083;7.536010020179528
1;14398;0.0;8.0;3.1;2.2;45061.0;1.0;3.0;5.0;39.12;60.88;1193;8.285873037921935
2;14462;0.0;8.0;3.0;2.2;42949.0;1.0;3.0;4.0;37.12;62.88;1350;9.334808463559675
3;14368;0.0;8.0;2.7;2.1;39133.0;1.0;2.0;4.0;34.05;65.95;1839;12.799276169265033
4;14395;0.0;8.0;2.5;2.1;35773.0;1.0;2.0;4.0;31.06;68.94;2442;16.964223688780827
5;14415;0.0;8.0;2.4;2.0;34168.0;1.0;2.0;4.0;29.63;70.37;2534;17.578910856746443
6;14454;0.0;8.0;2.4;2.0;34295.0;1.0;2.0;4.0;29.66;70.34;2490;17.227065172270652
7;14396;0.0;8.0;2.4;2.0;34256.0;1.0;2.0;4.0;29.74;70.26;2484;17.254792998055017
8;14323;0.0;8.0;2.3;1.8;32625.0;1.0;2.0;3.0;28.47;71.53;2668;18.62738253159254
9;14283;0.0;8.0;2.2;1.8;31839.0;1.0;2.0;3.0;27.86;72.14;2777;19.442694111881256
10;14496;0.0;8.0;2.4;1.7;34680.0;1.0;2.0;4.0;29.9;70.1;2166;14.94205298013245
11;14588;0.0;8.0;2.5;1.7;36952.0;1.0;2.0;4.0;31.66;68.34;1743;11.948176583493282
12;14568;0.0;8.0;2.6;1.7;37657.0;1.0;2.0;4.0;32.31;67.69;1743;11.964579901153211
13;14520;0.0;8.0;2.6;1.7;38324.0;1.0;2.0;4.0;32.99;67.00999999999999;1405;9.676308539944904
14;14495;0.0;8.0;2.7;1.7;38770.0;1.0;2.0;4.0;33.43;66.57;1107;7.6371162469817175
15;14418;0.0;8.0;2.6;1.7;37836.0;1.0;2.0;4.0;32.8;67.2;1192;8.267443473435982
16;14401;0.0;8.0;2.6;1.8;37618.0;1.0;2.0;4.0;32.65;67.35;1224;8.499409763210888
17;14449;0.0;8.0;2.7;1.9;38895.0;1.0;2.0;4.0;33.65;66.35;1444;9.993771195238425
18;14446;0.0;8.0;2.9;2.0;42539.0;1.0;3.0;4.0;36.81;63.19;1291;8.936729890627165
19;14460;0.0;8.0;3.1;2.1;44581.0;1.0;3.0;5.0;38.54;61.46;1262;8.727524204702627
20;14514;0.0;8.0;3.2;2.1;46547.0;2.0;3.0;5.0;40.09;59.91;1215;8.371227780074411
21;14510;0.0;8.0;3.5;2.2;51011.0;2.0;3.0;5.0;43.94;56.06;1042;7.181254307374224
22;14506;0.0;8.0;3.7;2.1;53007.0;2.0;3.0;5.0;45.68;54.32;835;5.756238797738867
23;14462;0.0;8.0;3.5;2.1;51226.0;2.0;3.0;5.0;44.28;55.72;919;6.3545844281565484
