hour;nb_data;min;max;mean;std;sum;Q1;median;Q3;taux_dispo;taux_occ;penurie;taux_penurie
0;14371;0.0;8.0;2.1;2.1;29478.0;0.0;1.0;3.0;25.64;74.36;4666;32.468165054623896
1;14398;0.0;8.0;2.1;2.1;29659.0;0.0;1.0;3.0;25.75;74.25;4620;32.087789970829284
2;14462;0.0;8.0;2.1;2.1;29710.0;0.0;1.0;3.0;25.68;74.32;4620;31.945788964181993
3;14368;0.0;8.0;2.1;2.1;29640.0;0.0;1.0;3.0;25.79;74.21000000000001;4588;31.93207126948775
4;14395;0.0;8.0;2.1;2.1;29640.0;0.0;1.0;3.0;25.74;74.26;4615;32.059742966307745
5;14415;0.0;8.0;2.1;2.1;29640.0;0.0;1.0;3.0;25.7;74.3;4635;32.154006243496355
6;14454;0.0;8.0;2.1;2.1;29660.0;0.0;1.0;3.0;25.65;74.35;4654;32.19869932198699
7;14396;0.0;8.0;2.1;2.1;30155.0;0.0;1.0;4.0;26.18;73.82;4406;30.605723812170048
8;14323;0.0;8.0;2.3;2.1;32228.0;0.0;2.0;4.0;28.13;71.87;3721;25.979194302869512
9;14283;0.0;8.0;2.5;2.1;36406.0;1.0;2.0;4.0;31.86;68.14;2567;17.972414758804174
10;14496;0.0;8.0;2.6;2.1;37634.0;1.0;2.0;4.0;32.45;67.55;2537;17.50137969094923
11;14588;0.0;8.0;2.6;2.0;37674.0;1.0;2.0;4.0;32.28;67.72;2620;17.95996709624349
12;14568;0.0;8.0;2.5;2.0;36575.0;1.0;2.0;4.0;31.38;68.62;2696;18.506315211422294
13;14520;0.0;8.0;2.4;2.0;35066.0;1.0;2.0;4.0;30.19;69.81;3079;21.205234159779614
14;14501;0.0;8.0;2.6;2.0;37080.0;1.0;2.0;4.0;31.96;68.03999999999999;2547;17.564305909937243
15;14418;0.0;8.0;2.5;2.0;36007.0;1.0;2.0;4.0;31.22;68.78;2463;17.08281315022888
16;14401;0.0;8.0;2.5;2.1;36222.0;1.0;2.0;4.0;31.44;68.56;2596;18.02652593569891
17;14449;0.0;8.0;2.7;2.2;38358.0;1.0;2.0;4.0;33.18;66.82;2287;15.828084988580523
18;14446;0.0;8.0;2.6;2.2;37067.0;1.0;2.0;4.0;32.07;67.93;2636;18.247265679080716
19;14460;0.0;8.0;2.4;2.1;35081.0;1.0;2.0;4.0;30.33;69.67;3088;21.35546334716459
20;14514;0.0;8.0;2.4;2.2;34938.0;1.0;2.0;4.0;30.09;69.91;3198;22.033898305084744
21;14510;0.0;8.0;2.4;2.2;34204.0;1.0;2.0;4.0;29.47;70.53;3407;23.48035837353549
22;14506;0.0;8.0;2.2;2.1;31842.0;0.0;2.0;4.0;27.44;72.56;3893;26.837170825865158
23;14462;0.0;8.0;2.0;2.1;29506.0;0.0;1.0;3.0;25.5;74.5;4618;31.931959618310053
