hour;nb_data;min;max;mean;std;sum;Q1;median;Q3;taux_dispo;taux_occ;penurie;taux_penurie
0;7679;0.0;7.0;3.1;1.7;23886.0;2.0;3.0;4.0;38.88;61.12;446;5.808047922906629
1;7678;0.0;7.0;3.1;1.8;23547.0;2.0;3.0;4.0;38.34;61.66;515;6.707475905183642
2;7742;0.0;7.0;3.0;1.8;23533.0;2.0;3.0;4.0;38.0;62.0;615;7.943683802634978
3;7696;0.0;7.0;3.0;1.8;22806.0;2.0;3.0;4.0;37.04;62.96;659;8.562889812889813
4;7725;0.0;7.0;2.9;1.8;22606.0;2.0;3.0;4.0;36.58;63.42;699;9.04854368932039
5;7695;0.0;7.0;2.9;1.8;22073.0;1.0;3.0;4.0;35.86;64.14;660;8.57699805068226
6;7734;0.0;7.0;2.9;1.8;22145.0;1.0;3.0;4.0;35.79;64.21000000000001;660;8.533747090768037
7;7676;0.0;7.0;2.8;1.8;21664.0;1.0;3.0;4.0;35.28;64.72;660;8.598228243877019
8;7621;0.0;7.0;2.8;1.7;21577.0;2.0;3.0;4.0;35.39;64.61;630;8.26663167563312
9;7564;0.0;7.0;2.9;1.7;21878.0;2.0;3.0;4.0;36.15;63.85;641;8.474352194606029
10;7742;0.0;7.0;2.9;1.7;22637.0;2.0;3.0;4.0;36.55;63.45;674;8.70576078532679
11;7798;0.0;7.0;3.0;1.7;23017.0;2.0;3.0;4.0;36.9;63.1;554;7.104385739933317
12;7799;0.0;7.0;3.0;1.7;23159.0;2.0;3.0;4.0;37.12;62.88;591;7.577894601872035
13;7800;0.0;7.0;2.9;1.7;22467.0;2.0;3.0;4.0;36.0;64.0;748;9.58974358974359
14;7779;0.0;7.0;2.8;1.8;21664.0;1.0;3.0;4.0;34.81;65.19;923;11.865278313407893
15;7699;0.0;7.0;2.8;1.8;21654.0;2.0;3.0;4.0;35.16;64.84;917;11.91063774516171
16;7680;0.0;7.0;2.9;1.8;22361.0;2.0;3.0;4.0;36.39;63.61;797;10.377604166666666
17;7680;0.0;7.0;3.0;1.8;23081.0;2.0;3.0;4.0;37.57;62.43;719;9.361979166666666
18;7666;0.0;7.0;2.9;1.8;22556.0;2.0;3.0;4.0;36.78;63.22;790;10.305243934255152
19;7680;0.0;7.0;3.0;1.8;22833.0;2.0;3.0;4.0;37.16;62.84;794;10.338541666666666
20;7734;0.0;7.0;3.0;1.8;23539.0;2.0;3.0;4.0;38.04;61.96;583;7.538143263511767
21;7730;0.0;7.0;3.2;1.7;24714.0;2.0;3.0;4.0;39.96;60.04;505;6.532988357050453
22;7740;0.0;7.0;3.2;1.7;24699.0;2.0;3.0;4.0;39.89;60.11;441;5.6976744186046515
23;7739;0.0;7.0;3.1;1.8;24175.0;2.0;3.0;4.0;39.05;60.95;480;6.202351725029073
