hour;nb_data;min;max;mean;std;sum;Q1;median;Q3;taux_dispo;taux_occ;penurie;taux_penurie
0;7679;0.0;9.0;4.5;2.2;34597.0;3.0;4.0;6.0;28.16;71.84;120;1.5627034770152364
1;7678;0.0;9.0;4.4;2.2;33728.0;3.0;4.0;6.0;27.46;72.53999999999999;120;1.5629070070330815
2;7742;0.0;9.0;4.4;2.2;33892.0;3.0;4.0;6.0;27.36;72.64;120;1.5499870834409715
3;7696;0.0;9.0;4.3;2.2;33406.0;3.0;4.0;6.0;27.13;72.87;139;1.8061330561330562
4;7725;0.0;9.0;4.3;2.3;33040.0;3.0;4.0;6.0;26.73;73.27;216;2.796116504854369
5;7695;0.0;9.0;4.2;2.3;32652.0;2.0;4.0;6.0;26.52;73.48;245;3.1838856400259905
6;7734;0.0;9.0;4.2;2.3;32329.0;2.0;4.0;6.0;26.13;73.87;300;3.8789759503491075
7;7675;0.0;9.0;4.2;2.3;31956.0;2.0;4.0;6.0;26.02;73.98;300;3.908794788273615
8;7621;0.0;9.0;4.2;2.3;31802.0;2.0;4.0;6.0;26.08;73.92;315;4.13331583781656
9;7564;0.0;9.0;4.1;2.3;31249.0;2.0;4.0;6.0;25.82;74.18;364;4.812268640930725
10;7742;0.0;11.0;4.2;2.3;32602.0;2.0;4.0;6.0;26.32;73.68;327;4.223714802376647
11;7798;0.0;11.0;4.3;2.3;33831.0;3.0;4.0;6.0;27.12;72.88;310;3.9753783021287505
12;7799;0.0;10.0;4.3;2.3;33594.0;3.0;4.0;6.0;26.92;73.08;351;4.500576997050905
13;7800;0.0;11.0;4.5;2.3;35322.0;3.0;5.0;6.0;28.3;71.7;301;3.858974358974359
14;7780;0.0;11.0;4.6;2.3;35620.0;3.0;5.0;6.0;28.62;71.38;300;3.8560411311053984
15;7699;0.0;11.0;4.6;2.3;35293.0;3.0;5.0;6.0;28.65;71.35;272;3.5329263540719573
16;7680;0.0;11.0;4.6;2.2;35298.0;3.0;5.0;6.0;28.73;71.27;240;3.125
17;7680;0.0;10.0;4.6;2.2;35314.0;3.0;5.0;6.0;28.74;71.26;225;2.9296875
18;7666;0.0;9.0;4.6;2.2;35037.0;3.0;5.0;6.0;28.57;71.43;180;2.348030263501174
19;7680;0.0;9.0;4.6;2.2;34988.0;3.0;5.0;6.0;28.47;71.53;185;2.408854166666667
20;7734;0.0;11.0;4.6;2.3;35688.0;3.0;5.0;6.0;28.84;71.16;131;1.6938194983191106
21;7730;0.0;11.0;4.6;2.3;35829.0;3.0;5.0;6.0;28.97;71.03;120;1.5523932729624839
22;7740;0.0;10.0;4.6;2.2;35941.0;3.0;5.0;6.0;29.02;70.98;120;1.550387596899225
23;7739;0.0;9.0;4.6;2.2;35579.0;3.0;5.0;6.0;28.73;71.27;120;1.5505879312572683
