Mois;nb_data;min;max;mean;std;sum;Q1;median;Q3;taux_dispo;taux_occ;penurie;taux_penurie
Janv;38212;0.0;12.0;3.9;3.0;150756.0;2.0;3.0;6.0;32.88;67.12;4344;11.368156600020935
Fev;40314;0.0;12.0;4.0;3.0;162740.0;2.0;4.0;6.0;33.64;66.36;4655;11.546857171206033
Mars;20928;0.0;12.0;4.9;3.1;102073.0;2.0;5.0;7.0;40.64;59.36;1727;8.252102446483182
Avril;4729;0.0;8.0;1.9;1.8;8935.0;1.0;2.0;3.0;15.75;84.25;1175;24.846690632268977
Mai;40348;0.0;12.0;3.5;2.8;140379.0;1.0;3.0;5.0;28.99;71.01;5467;13.549618320610687
Juin;17094;0.0;12.0;3.8;3.0;64355.0;1.0;3.0;6.0;31.37;68.63;2274;13.302913302913302
Juil;28163;0.0;12.0;5.5;3.1;155662.0;3.0;5.0;8.0;46.06;53.94;72;0.2556545822533111
Aout;39378;0.0;12.0;4.7;2.8;184323.0;2.0;4.0;7.0;39.01;60.99;292;0.7415308040022347
Sept;5239;1.0;12.0;5.7;2.5;29670.0;4.0;6.0;8.0;47.19;52.81;0;0.0
Oct;26796;0.0;12.0;4.7;3.3;125670.0;2.0;4.0;8.0;39.08;60.92;1200;4.478280340349306
Nov;42301;0.0;12.0;4.2;3.0;177266.0;2.0;4.0;6.0;34.92;65.08;5058;11.95716413323562
Dec;43197;1.0;12.0;6.2;3.3;266553.0;3.0;6.0;9.0;51.42;48.58;0;0.0
