Mois;nb_data;min;max;mean;std;sum;Q1;median;Q3;taux_dispo;taux_occ;penurie;taux_penurie
Janv;37777;0.0;20.0;8.5;5.6;322033.0;3.0;9.0;12.0;42.62;57.38;565;1.4956190274505652
Fev;40314;0.0;19.0;8.0;5.3;324333.0;2.0;9.0;13.0;40.23;59.77;3084;7.649947908915017
Mars;20928;0.0;18.0;8.6;4.2;179664.0;5.0;9.0;11.0;42.92;57.08;346;1.6532874617737003
Avril;4729;0.0;14.0;6.2;3.9;29307.0;3.0;7.0;9.0;30.99;69.01;539;11.397758511313175
Mai;40348;0.0;19.0;6.2;5.1;251271.0;2.0;5.0;10.0;31.14;68.86;3673;9.103301278873797
Juin;17094;0.0;19.0;6.2;4.6;105955.0;2.0;5.0;10.0;30.99;69.01;1447;8.464958464958466
Juil;28163;0.0;20.0;9.0;4.4;253953.0;6.0;9.0;12.0;45.09;54.91;244;0.8663849731917763
Aout;39377;0.0;20.0;7.4;4.3;290853.0;4.0;7.0;10.0;36.93;63.07;2064;5.241638519948193
Sept;5239;2.0;14.0;6.3;3.9;32846.0;3.0;6.0;9.0;31.35;68.65;0;0.0
Oct;26796;1.0;20.0;7.8;4.5;207869.0;4.0;8.0;11.0;38.79;61.21;0;0.0
Nov;42305;2.0;20.0;11.2;3.8;474605.0;8.0;12.0;14.0;56.09;43.91;0;0.0
Dec;43197;2.0;20.0;11.0;3.5;476773.0;9.0;12.0;13.0;55.19;44.81;0;0.0
