Mois;nb_data;min;max;mean;std;sum;Q1;median;Q3;taux_dispo;taux_occ;penurie;taux_penurie
Janv;38212;0.0;16.0;8.0;4.0;306711.0;5.0;8.0;11.0;50.17;49.83;161;0.4213336124777557
Fev;40315;0.0;16.0;9.7;3.6;393026.0;7.0;9.0;12.0;60.93;39.07;37;0.09177725412377527
Mars;20928;0.0;14.0;7.4;3.0;154097.0;5.0;8.0;10.0;46.02;53.98;147;0.7024082568807339
Avril;4729;0.0;13.0;5.7;3.6;26889.0;3.0;5.0;9.0;35.54;64.46000000000001;259;5.476844998942694
Mai;40348;0.0;16.0;6.9;3.5;277839.0;4.0;7.0;10.0;43.04;56.96;874;2.166154456230792
Juin;17094;0.0;16.0;8.8;4.2;149888.0;6.0;9.0;12.0;54.8;45.2;1;0.0058500058500058506
Juil;28163;0.0;16.0;8.1;4.7;229146.0;5.0;7.0;12.0;50.85;49.15;401;1.4238539928274685
Aout;39377;0.0;16.0;7.9;3.6;312939.0;5.0;8.0;10.0;49.67;50.33;124;0.3149046397643294
Sept;5239;0.0;16.0;10.8;4.2;56550.0;8.0;11.0;15.0;67.46;32.540000000000006;172;3.2830692880320673
Oct;26796;0.0;16.0;10.8;3.8;290693.0;8.0;11.0;14.0;67.8;32.2;60;0.22391401701746527
Nov;42301;0.0;16.0;10.7;3.9;452902.0;8.0;11.0;14.0;66.92;33.08;22;0.05200822675586865
Dec;43197;2.0;16.0;11.0;3.2;476435.0;9.0;12.0;13.0;68.93;31.069999999999993;0;0.0
