Mois;nb_data;min;max;mean;std;sum;Q1;median;Q3;taux_dispo;taux_occ;penurie;taux_penurie
Janv;38212;0.0;12.0;6.0;3.5;229802.0;3.0;6.0;9.0;50.12;49.88;2138;5.595101015387836
Fev;40314;0.0;12.0;6.1;3.8;244020.0;3.0;6.0;10.0;50.44;49.56;2734;6.7817631592002785
Mars;20928;0.0;12.0;6.6;3.6;138174.0;4.0;6.0;10.0;55.02;44.98;989;4.72572629969419
Avril;4729;0.0;11.0;5.5;4.1;26046.0;1.0;6.0;10.0;45.9;54.1;260;5.497991118629732
Mai;40348;0.0;12.0;4.7;3.2;187942.0;2.0;4.0;7.0;38.82;61.18;2590;6.419153365718251
Juin;17094;0.0;12.0;4.9;3.8;84473.0;1.0;4.0;8.0;41.18;58.82;1715;10.032760032760033
Juil;28163;1.0;12.0;7.4;2.9;207626.0;5.0;8.0;10.0;61.44;38.56;0;0.0
Aout;39377;0.0;12.0;5.2;2.9;204783.0;3.0;5.0;7.0;43.34;56.66;880;2.2348071209081444
Sept;5239;0.0;9.0;3.5;2.0;18474.0;2.0;3.0;5.0;29.39;70.61;349;6.6615766367627405
Oct;26796;0.0;12.0;7.6;3.3;203061.0;5.0;8.0;11.0;63.15;36.85;132;0.49261083743842365
Nov;42304;0.0;12.0;7.0;3.5;294646.0;5.0;7.0;10.0;58.04;41.96;2034;4.808055975794251
Dec;43197;0.0;12.0;6.3;3.4;273011.0;3.0;6.0;9.0;52.67;47.33;732;1.694562122369609
