Mois;nb_data;min;max;mean;std;sum;Q1;median;Q3;taux_dispo;taux_occ;penurie;taux_penurie
Janv;38212;0.0;24.0;9.6;5.6;368552.0;5.0;9.0;13.0;35.72;64.28;828;2.1668585784570293
Fev;40314;0.0;22.0;7.8;4.8;314504.0;4.0;8.0;11.0;28.89;71.11;1719;4.264027385027534
Mars;20928;0.0;19.0;8.3;4.6;174651.0;4.0;9.0;12.0;30.91;69.09;846;4.04243119266055
Avril;4728;0.0;12.0;4.4;2.8;20913.0;2.0;4.0;6.0;16.38;83.62;308;6.514382402707277
Mai;40348;0.0;17.0;6.6;4.3;264668.0;3.0;6.0;10.0;24.29;75.71000000000001;2346;5.814414593040547
Juin;17094;0.0;20.0;5.6;4.1;95558.0;2.0;5.0;8.0;20.7;79.3;1379;8.067158067158067
Juil;28163;1.0;26.0;9.6;5.5;269248.0;5.0;9.0;13.0;35.41;64.59;0;0.0
Aout;39377;0.0;21.0;6.9;4.1;271867.0;4.0;6.0;9.0;25.57;74.43;221;0.5612413337735226
Sept;5239;1.0;14.0;7.0;2.7;36591.0;5.0;7.0;9.0;25.87;74.13;0;0.0
Oct;26797;0.0;27.0;11.1;6.9;296277.0;6.0;10.0;15.0;40.95;59.05;989;3.690711646826137
Nov;42299;1.0;27.0;12.6;5.5;534832.0;9.0;12.0;16.0;46.83;53.17;0;0.0
Dec;43197;2.0;26.0;12.4;5.2;535729.0;9.0;11.0;16.0;45.93;54.07;0;0.0
