Mois;nb_data;min;max;mean;std;sum;Q1;median;Q3;taux_dispo;taux_occ;penurie;taux_penurie
Janv;38212;0.0;8.0;2.6;2.3;100937.0;1.0;2.0;5.0;33.02;66.97999999999999;7891;20.650580969329006
Fev;40315;0.0;8.0;2.7;2.2;108767.0;1.0;2.0;5.0;33.72;66.28;8333;20.66972590847079
Mars;20928;0.0;8.0;1.8;1.7;37247.0;1.0;1.0;3.0;22.25;77.75;4934;23.57607033639144
Avril;4729;0.0;6.0;1.5;1.7;6934.0;0.0;1.0;2.0;18.33;81.67;1779;37.61894692323959
Mai;40348;0.0;8.0;1.7;2.0;67766.0;0.0;1.0;3.0;20.99;79.01;17051;42.25983939724397
Juin;17094;0.0;7.0;1.8;1.8;29987.0;0.0;1.0;3.0;21.93;78.07;5752;33.64923364923365
Juil;28163;0.0;8.0;2.5;2.2;70020.0;1.0;2.0;4.0;31.08;68.92;5248;18.634378439796897
Aout;39377;0.0;8.0;2.9;2.2;115215.0;1.0;3.0;5.0;36.57;63.43;5303;13.467252457018056
Sept;5239;0.0;8.0;2.7;2.3;14193.0;1.0;2.0;4.0;33.86;66.14;1047;19.984729910288223
Oct;26797;0.0;8.0;3.1;2.2;83934.0;1.0;3.0;5.0;39.15;60.85;3944;14.718065455088256
Nov;42303;0.0;8.0;3.1;2.2;132761.0;1.0;3.0;5.0;39.23;60.77;6321;14.942202680660946
Dec;43197;2.0;8.0;4.1;1.6;177937.0;3.0;4.0;5.0;51.49;48.51;0;0.0
