Mois;nb_data;min;max;mean;std;sum;Q1;median;Q3;taux_dispo;taux_occ;penurie;taux_penurie
Janv;38212;0.0;11.0;3.8;3.0;146443.0;1.0;4.0;6.0;31.94;68.06;6627;17.3427195645347
Fev;40315;0.0;11.0;3.4;2.9;137279.0;0.0;3.0;6.0;28.38;71.62;10433;25.878705196576956
Mars;20928;0.0;12.0;4.1;2.7;85399.0;2.0;4.0;6.0;34.01;65.99000000000001;2099;10.029625382262996
Avril;4728;0.0;8.0;2.8;2.2;13415.0;1.0;3.0;5.0;23.64;76.36;864;18.274111675126903
Mai;40348;0.0;11.0;3.0;2.4;121134.0;1.0;2.0;5.0;25.02;74.98;6391;15.839694656488549
Juin;17094;0.0;12.0;6.9;3.6;118551.0;5.0;7.0;10.0;57.79;42.21;660;3.861003861003861
Juil;28163;1.0;10.0;3.8;2.2;106852.0;2.0;3.0;6.0;31.62;68.38;0;0.0
Aout;39377;0.0;12.0;3.7;3.0;145100.0;1.0;3.0;6.0;30.71;69.28999999999999;4244;10.777865251288823
Sept;5239;0.0;8.0;2.9;2.3;15111.0;1.0;2.0;6.0;24.04;75.96000000000001;69;1.317045237640771
Oct;26797;0.0;12.0;3.2;2.4;84956.0;1.0;2.0;5.0;26.42;73.58;1819;6.788073291786394
Nov;42308;0.0;12.0;4.7;2.7;198298.0;2.0;5.0;7.0;39.06;60.94;2278;5.384324477640163
Dec;43197;0.0;11.0;5.2;2.3;225713.0;4.0;6.0;7.0;43.54;56.46;1558;3.6067319489779384
