Mois;nb_data;min;max;mean;std;sum;Q1;median;Q3;taux_dispo;taux_occ;penurie;taux_penurie
Janv;38212;0.0;8.0;2.4;2.2;93209.0;1.0;2.0;4.0;30.49;69.51;6714;17.570396734010256
Fev;40315;0.0;8.0;2.6;2.2;105638.0;1.0;2.0;4.0;32.75;67.25;7582;18.80689569639092
Mars;20928;0.0;8.0;2.8;2.0;59166.0;1.0;3.0;4.0;35.34;64.66;3288;15.711009174311927
Avril;4728;0.0;8.0;2.7;2.1;12685.0;1.0;2.0;4.0;33.54;66.46000000000001;724;15.313028764805415
Mai;40348;0.0;8.0;2.5;2.0;102736.0;1.0;2.0;4.0;31.83;68.17;6211;15.393575889759095
Juin;17094;0.0;8.0;2.5;2.1;42057.0;1.0;2.0;3.0;30.75;69.25;3026;17.702117702117704
Juil;28163;0.0;8.0;3.3;1.9;92424.0;2.0;3.0;5.0;41.02;58.98;1663;5.904910698434115
Aout;39377;0.0;8.0;3.1;2.2;122121.0;1.0;3.0;5.0;38.77;61.23;4688;11.90542702592884
Sept;5239;0.0;8.0;2.6;2.2;13821.0;1.0;2.0;4.0;32.98;67.02000000000001;941;17.961443023477763
Oct;26797;0.0;8.0;2.8;2.5;76045.0;1.0;2.0;5.0;35.47;64.53;5362;20.009702578646863
Nov;42299;0.0;8.0;3.1;2.0;129630.0;1.0;3.0;5.0;38.31;61.69;3934;9.30045627556207
Dec;43197;0.0;8.0;4.2;2.2;180422.0;3.0;4.0;6.0;52.21;47.79;2913;6.74352385582332
