Mois;nb_data;min;max;mean;std;sum;Q1;median;Q3;taux_dispo;taux_occ;penurie;taux_penurie
Janv;38212;0.0;16.0;7.8;3.8;298340.0;5.0;9.0;11.0;48.8;51.2;263;0.6882654663456506
Fev;40315;0.0;16.0;4.5;3.5;180796.0;2.0;3.0;7.0;28.03;71.97;2590;6.4244077886642685
Mars;20928;0.0;13.0;5.4;3.1;113577.0;3.0;6.0;8.0;33.92;66.08;1315;6.283448012232416
Avril;4728;3.0;13.0;9.0;3.1;42413.0;6.0;10.0;11.0;56.07;43.93;0;0.0
Mai;40348;0.0;12.0;4.9;3.1;197773.0;3.0;4.0;8.0;30.64;69.36;1256;3.1129176167344106
Juin;17094;0.0;14.0;3.8;3.3;64696.0;1.0;3.0;4.0;23.65;76.35;762;4.457704457704457
Juil;28163;0.0;11.0;2.9;2.3;81390.0;1.0;2.0;4.0;18.06;81.94;3759;13.34729964847495
Aout;39377;0.0;13.0;4.8;3.0;189584.0;2.0;5.0;7.0;30.09;69.91;426;1.0818498108032608
Sept;5239;2.0;7.0;4.3;1.3;22366.0;3.0;4.0;5.0;26.68;73.32;0;0.0
Oct;26797;0.0;16.0;4.7;2.5;125081.0;3.0;4.0;6.0;29.17;70.83;685;2.5562562973467178
Nov;42302;1.0;14.0;5.8;3.0;246361.0;4.0;5.0;7.0;36.4;63.6;0;0.0
Dec;43197;0.0;14.0;4.9;3.1;210479.0;2.0;4.0;7.0;30.45;69.55;865;2.002453874111628
