Mois;nb_data;min;max;mean;std;sum;Q1;median;Q3;taux_dispo;taux_occ;penurie;taux_penurie
Janv;38212;0.0;12.0;3.6;3.3;137211.0;1.0;3.0;5.0;29.92;70.08;6298;16.481733486862765
Fev;40315;0.0;12.0;4.4;3.1;178298.0;2.0;4.0;6.0;36.86;63.14;3198;7.9325313158873865
Mars;20928;0.0;12.0;5.3;3.6;111953.0;2.0;4.0;9.0;44.58;55.42;391;1.868310397553517
Avril;4728;1.0;9.0;4.4;1.6;20807.0;3.0;4.0;5.0;36.67;63.33;0;0.0
Mai;40348;0.0;12.0;3.9;2.9;158598.0;1.0;3.0;6.0;32.76;67.24000000000001;2768;6.860315257261822
Juin;17094;0.0;12.0;3.6;2.8;61030.0;1.0;3.0;6.0;29.75;70.25;1794;10.494910494910496
Juil;28163;0.0;12.0;4.2;3.0;117459.0;2.0;4.0;6.0;34.76;65.24000000000001;2303;8.177395874019103
Aout;39377;0.0;12.0;4.5;2.8;176508.0;2.0;4.0;6.0;37.35;62.65;2001;5.081646646519542
Sept;5239;8.0;10.0;9.0;0.2;47153.0;9.0;9.0;9.0;75.0;25.0;0;0.0
Oct;26797;0.0;12.0;6.1;3.0;163645.0;4.0;6.0;8.0;50.89;49.11;257;0.9590625816322723
Nov;42303;0.0;12.0;5.4;3.3;230017.0;3.0;5.0;8.0;45.31;54.69;1042;2.4631822802165333
Dec;43197;1.0;12.0;6.0;2.0;257227.0;5.0;6.0;7.0;49.62;50.38;0;0.0
