Mois;nb_data;min;max;mean;std;sum;Q1;median;Q3;taux_dispo;taux_occ;penurie;taux_penurie
Janv;38212;0.0;12.0;6.2;3.7;235730.0;3.0;6.0;9.0;51.41;48.59;1776;4.6477546320527585
Fev;40315;0.0;12.0;7.3;3.4;293669.0;5.0;8.0;10.0;60.7;39.3;170;0.4216792757038323
Mars;20928;0.0;12.0;4.8;3.4;101431.0;2.0;4.0;8.0;40.39;59.61;1868;8.925840978593271
Avril;4728;1.0;12.0;5.9;3.1;28095.0;3.0;6.0;9.0;49.52;50.48;0;0.0
Mai;40348;0.0;12.0;5.2;3.5;211167.0;2.0;5.0;8.0;43.61;56.39;2751;6.8181818181818175
Juin;17094;0.0;12.0;4.6;3.4;78097.0;2.0;4.0;7.0;38.07;61.93;1906;11.15011115011115
Juil;28163;1.0;12.0;4.9;2.7;139375.0;3.0;4.0;7.0;41.24;58.76;0;0.0
Aout;39377;1.0;12.0;5.8;3.1;228057.0;3.0;6.0;8.0;48.26;51.74;0;0.0
Sept;5239;1.0;12.0;4.6;3.7;23919.0;2.0;3.0;8.0;38.05;61.95;0;0.0
Oct;26797;0.0;12.0;5.5;3.4;146751.0;3.0;5.0;8.0;45.64;54.36;1774;6.620144045975296
Nov;42302;0.0;12.0;5.8;3.4;246890.0;3.0;6.0;8.0;48.64;51.36;2485;5.8744267410524325
Dec;43197;0.0;12.0;7.1;3.3;306558.0;5.0;8.0;10.0;59.14;40.86;1144;2.6483320600967657
