Mois;nb_data;min;max;mean;std;sum;Q1;median;Q3;taux_dispo;taux_occ;penurie;taux_penurie
Janv;38212;0.0;8.0;5.9;1.6;226879.0;5.0;6.0;7.0;74.22;25.78;1;0.002616978959489166
Fev;40315;0.0;8.0;5.5;1.9;221797.0;4.0;6.0;7.0;68.77;31.230000000000004;186;0.4613667369465459
Mars;20928;1.0;8.0;5.1;1.7;105820.0;4.0;5.0;6.0;63.2;36.8;0;0.0
Avril;4729;0.0;6.0;4.0;1.6;18919.0;3.0;4.0;6.0;50.01;49.99;104;2.1991964474518926
Mai;40348;0.0;8.0;3.9;2.0;158662.0;3.0;3.0;5.0;49.15;50.85;792;1.9629225736095965
Juin;17094;0.0;8.0;2.9;2.3;49387.0;1.0;2.0;5.0;36.11;63.89;1546;9.044109044109044
Juil;28163;1.0;8.0;4.9;2.0;138874.0;3.0;5.0;7.0;61.64;38.36;0;0.0
Aout;39377;1.0;8.0;5.2;1.9;203797.0;4.0;5.0;7.0;64.69;35.31;0;0.0
Sept;5239;2.0;8.0;5.5;1.6;28937.0;4.0;6.0;7.0;69.04;30.959999999999994;0;0.0
Oct;26797;2.0;8.0;6.0;1.6;160586.0;5.0;6.0;7.0;74.91;25.090000000000003;0;0.0
Nov;42303;0.0;8.0;5.4;1.8;228300.0;4.0;5.0;7.0;67.46;32.540000000000006;8;0.0189111883317968
Dec;43197;2.0;8.0;5.6;1.7;241718.0;4.0;5.0;7.0;69.95;30.049999999999997;0;0.0
