Mois;nb_data;min;max;mean;std;sum;Q1;median;Q3;taux_dispo;taux_occ;penurie;taux_penurie
Janv;38212;2.0;16.0;9.6;3.9;366084.0;7.0;10.0;12.0;59.88;40.12;0;0.0
Fev;40315;1.0;16.0;7.1;3.9;285985.0;4.0;7.0;9.0;44.34;55.66;0;0.0
Mars;20928;0.0;15.0;7.5;4.0;156990.0;4.0;7.0;10.0;46.88;53.12;102;0.4873853211009175
Avril;4729;1.0;7.0;4.4;2.0;20753.0;2.0;5.0;6.0;27.43;72.57;0;0.0
Mai;40348;0.0;13.0;4.9;2.7;197060.0;3.0;4.0;7.0;30.53;69.47;377;0.9343709725389115
Juin;17094;0.0;13.0;4.9;3.0;84297.0;2.0;5.0;7.0;30.82;69.18;1021;5.972855972855973
Juil;28163;3.0;16.0;8.2;3.0;232107.0;6.0;7.0;11.0;51.51;48.49;0;0.0
Aout;39377;2.0;16.0;7.7;2.8;304002.0;6.0;8.0;10.0;48.25;51.75;0;0.0
Sept;5239;6.0;15.0;9.2;1.8;48149.0;8.0;9.0;10.0;57.44;42.56;0;0.0
Oct;26797;5.0;16.0;10.7;3.1;287695.0;8.0;11.0;13.0;67.1;32.900000000000006;0;0.0
Nov;42305;4.0;16.0;12.2;2.6;516711.0;11.0;13.0;14.0;76.34;23.659999999999997;0;0.0
Dec;43197;6.0;16.0;11.3;3.0;489968.0;10.0;11.0;14.0;70.89;29.11;0;0.0
