Mois;nb_data;min;max;mean;std;sum;Q1;median;Q3;taux_dispo;taux_occ;penurie;taux_penurie
Janv;38212;0.0;8.0;4.4;2.4;166977.0;3.0;4.0;6.0;54.62;45.38;1641;4.294462472521721
Fev;40315;0.0;8.0;5.3;2.0;211658.0;4.0;5.0;7.0;65.63;34.370000000000005;84;0.20835917152424657
Mars;20928;0.0;8.0;5.3;2.1;111281.0;4.0;6.0;7.0;66.47;33.53;207;0.989105504587156
Avril;4729;1.0;5.0;2.9;1.0;13950.0;2.0;3.0;4.0;36.87;63.13;0;0.0
Mai;40348;1.0;8.0;5.3;1.7;215014.0;4.0;5.0;7.0;66.61;33.39;0;0.0
Juin;17094;1.0;8.0;5.4;1.7;92937.0;4.0;5.0;7.0;67.96;32.040000000000006;0;0.0
Juil;28163;1.0;8.0;5.3;1.6;147925.0;4.0;5.0;6.0;65.66;34.34;0;0.0
Aout;39377;0.0;8.0;4.0;2.1;158022.0;3.0;4.0;6.0;50.16;49.84;2340;5.942555298778475
Sept;5239;0.0;8.0;3.3;1.9;17042.0;2.0;3.0;5.0;40.66;59.34;164;3.1303683909142968
Oct;26797;0.0;8.0;4.9;1.9;130266.0;3.0;5.0;6.0;60.77;39.23;366;1.3658245325969325
Nov;42301;0.0;8.0;5.4;1.8;229503.0;4.0;5.0;7.0;67.82;32.18000000000001;165;0.3900617006690149
Dec;43197;1.0;8.0;4.2;1.7;182963.0;3.0;4.0;6.0;52.94;47.06;0;0.0
