Mois;nb_data;min;max;mean;std;sum;Q1;median;Q3;taux_dispo;taux_occ;penurie;taux_penurie
Janv;38212;0.0;16.0;5.6;3.5;213137.0;3.0;5.0;7.0;34.86;65.14;1607;4.2054851878990895
Fev;40315;0.0;16.0;6.0;4.2;241846.0;3.0;6.0;8.0;37.49;62.51;2992;7.421555252387449
Mars;20928;0.0;16.0;5.8;4.4;121790.0;2.0;5.0;9.0;36.37;63.63;1117;5.337347094801223
Avril;4729;1.0;16.0;7.4;3.5;34779.0;5.0;7.0;9.0;45.97;54.03;0;0.0
Mai;40348;0.0;16.0;5.1;4.2;204237.0;2.0;3.0;8.0;31.64;68.36;3492;8.654704074551404
Juin;17094;0.0;16.0;4.7;3.9;80864.0;2.0;3.0;7.0;29.57;70.43;1047;6.124956124956125
Juil;28163;1.0;16.0;7.1;3.5;198687.0;4.0;7.0;10.0;44.09;55.91;0;0.0
Aout;39377;0.0;16.0;6.8;4.0;266562.0;4.0;7.0;10.0;42.31;57.69;1338;3.3979226451989737
Sept;5239;0.0;16.0;8.0;5.5;41947.0;2.0;11.0;12.0;50.04;49.96;291;5.5544951326589045
Oct;26797;1.0;16.0;8.1;3.9;217006.0;5.0;8.0;11.0;50.61;49.39;0;0.0
Nov;42303;1.0;16.0;8.4;4.4;354239.0;4.0;8.0;12.0;52.34;47.66;0;0.0
Dec;43197;3.0;16.0;10.6;2.9;456046.0;8.0;10.0;13.0;65.98;34.019999999999996;0;0.0
