Mois;nb_data;min;max;mean;std;sum;Q1;median;Q3;taux_dispo;taux_occ;penurie;taux_penurie
Janv;38212;0.0;16.0;6.7;4.1;255133.0;4.0;6.0;10.0;41.73;58.27;535;1.4000837433267037
Fev;40316;0.0;16.0;6.2;4.1;250400.0;3.0;6.0;9.0;38.82;61.18;1557;3.8619902768131755
Mars;20928;1.0;16.0;8.3;3.7;174048.0;6.0;8.0;11.0;51.98;48.02;0;0.0
Avril;4729;1.0;15.0;7.0;3.4;33068.0;4.0;7.0;9.0;43.7;56.3;0;0.0
Mai;40348;1.0;16.0;4.9;3.6;197164.0;2.0;4.0;7.0;30.54;69.46000000000001;0;0.0
Juin;17094;1.0;16.0;7.5;4.0;128697.0;4.0;7.0;10.0;47.05;52.95;0;0.0
Juil;28163;0.0;14.0;5.3;2.9;148408.0;3.0;5.0;7.0;32.94;67.06;772;2.741185243049391
Aout;39377;0.0;16.0;6.9;3.5;273441.0;4.0;6.0;10.0;43.4;56.6;293;0.7440891891205526
Sept;5239;0.0;15.0;8.8;4.6;46292.0;4.0;10.0;13.0;55.23;44.77;53;1.01164344340523
Oct;26797;0.0;16.0;6.9;4.5;184148.0;3.0;6.0;10.0;42.95;57.05;831;3.1010934059782813
Nov;42305;0.0;16.0;9.3;4.3;394532.0;6.0;9.0;13.0;58.29;41.71;98;0.23165110507032266
Dec;43197;0.0;16.0;7.2;3.9;309769.0;4.0;7.0;10.0;44.82;55.18;1406;3.2548556612727735
