Mois;nb_data;min;max;mean;std;sum;Q1;median;Q3;taux_dispo;taux_occ;penurie;taux_penurie
Janv;38212;0.0;15.0;6.0;3.6;228535.0;3.0;5.0;8.0;37.38;62.62;540;1.4131686381241495
Fev;40315;0.0;15.0;7.8;4.0;313559.0;5.0;8.0;11.0;48.61;51.39;239;0.5928314523130349
Mars;20928;0.0;15.0;8.2;4.2;171240.0;5.0;8.0;12.0;51.14;48.86;619;2.9577599388379205
Avril;4729;1.0;12.0;5.7;3.2;27043.0;3.0;7.0;7.0;35.74;64.25999999999999;0;0.0
Mai;40348;0.0;14.0;4.5;3.4;182269.0;2.0;4.0;6.0;28.23;71.77;1868;4.629721423614554
Juin;17094;0.0;16.0;6.2;3.1;106735.0;4.0;6.0;8.0;39.03;60.97;45;0.26325026325026324
Juil;28163;0.0;13.0;6.7;2.9;188056.0;5.0;7.0;9.0;41.73;58.27;897;3.1850300039058337
Aout;39377;1.0;16.0;6.8;3.3;269019.0;5.0;6.0;9.0;42.7;57.3;0;0.0
Sept;5239;1.0;16.0;8.0;4.4;42090.0;4.0;7.0;12.0;50.21;49.79;0;0.0
Oct;26797;1.0;15.0;6.2;3.2;166584.0;4.0;6.0;9.0;38.85;61.15;0;0.0
Nov;42305;0.0;16.0;6.9;4.2;292194.0;3.0;7.0;9.0;43.17;56.83;55;0.13000827325375253
Dec;43197;0.0;16.0;7.2;3.3;309695.0;5.0;7.0;9.0;44.81;55.19;77;0.17825311942959002
