Mois;nb_data;min;max;mean;std;sum;Q1;median;Q3;taux_dispo;taux_occ;penurie;taux_penurie
Janv;38212;0.0;16.0;9.4;4.2;359637.0;7.0;10.0;13.0;58.82;41.18;516;1.3503611430964095
Fev;40315;0.0;16.0;6.2;4.2;250545.0;3.0;6.0;10.0;38.84;61.16;2073;5.1420066972590845
Mars;20928;0.0;16.0;5.1;3.6;107019.0;2.0;5.0;8.0;31.96;68.03999999999999;2149;10.268539755351682
Avril;4625;1.0;16.0;7.1;4.5;32704.0;2.0;7.0;11.0;44.19;55.81;0;0.0
Mai;39923;1.0;16.0;5.9;4.1;236836.0;2.0;5.0;9.0;37.08;62.92;0;0.0
Juin;16915;1.0;16.0;5.8;3.9;97816.0;3.0;5.0;8.0;36.14;63.86;0;0.0
Juil;28163;1.0;16.0;8.8;3.8;246510.0;6.0;8.0;11.0;54.71;45.29;0;0.0
Aout;39377;0.0;16.0;6.9;3.9;272194.0;4.0;7.0;10.0;43.2;56.8;173;0.4393427635421693
Sept;5239;0.0;9.0;3.0;1.9;15486.0;1.0;3.0;4.0;18.47;81.53;297;5.669020805497232
Oct;26797;1.0;16.0;9.9;4.4;264918.0;7.0;11.0;14.0;61.79;38.21;0;0.0
Nov;42304;0.0;16.0;7.4;4.5;313371.0;3.0;7.0;11.0;46.3;53.7;165;0.3900340393343419
Dec;43197;0.0;16.0;9.4;4.0;406174.0;7.0;10.0;12.0;58.77;41.23;1935;4.479477741509827
