Mois;nb_data;min;max;mean;std;sum;Q1;median;Q3;taux_dispo;taux_occ;penurie;taux_penurie
Janv;38212;0.0;7.0;2.1;1.9;78782.0;0.0;2.0;4.0;25.77;74.23;10956;28.6716214801633
Fev;40315;0.0;8.0;2.8;1.9;113237.0;1.0;3.0;4.0;35.11;64.89;3844;9.53491256356195
Mars;20928;0.0;7.0;2.0;1.5;42805.0;1.0;2.0;3.0;25.57;74.43;2124;10.149082568807339
Avril;4729;0.0;6.0;3.0;1.0;14130.0;2.0;3.0;4.0;37.35;62.65;39;0.8246986677944598
Mai;40348;0.0;8.0;2.6;1.9;104917.0;1.0;2.0;3.0;32.5;67.5;2357;5.841677406562903
Juin;17094;0.0;8.0;2.6;2.1;45294.0;1.0;2.0;4.0;33.12;66.88;2849;16.666666666666664
Juil;28163;0.0;8.0;3.6;1.8;100820.0;2.0;3.0;5.0;44.75;55.25;205;0.7279054078045663
Aout;39378;0.0;7.0;2.3;1.5;90889.0;1.0;2.0;3.0;28.85;71.15;167;0.424094672151963
Sept;5216;1.0;8.0;6.0;1.7;31232.0;5.0;6.0;8.0;74.85;25.150000000000006;0;0.0
Oct;26797;3.0;8.0;7.8;0.8;208761.0;8.0;8.0;8.0;97.38;2.6200000000000045;0;0.0
Nov;42305;1.0;8.0;4.5;2.0;190413.0;3.0;5.0;6.0;56.26;43.74;0;0.0
Dec;43197;2.0;8.0;3.6;1.4;155380.0;3.0;3.0;4.0;44.96;55.04;0;0.0
