Mois;nb_data;min;max;mean;std;sum;Q1;median;Q3;taux_dispo;taux_occ;penurie;taux_penurie
Janv;38212;0.0;16.0;9.2;4.0;351845.0;6.0;9.0;12.0;57.55;42.45;100;0.26169789594891657
Fev;40315;0.0;16.0;9.9;4.3;397882.0;6.0;10.0;13.0;61.68;38.32;233;0.5779486543470171
Mars;20928;0.0;16.0;8.5;4.3;178767.0;5.0;10.0;11.0;53.39;46.61;280;1.337920489296636
Avril;4729;1.0;16.0;11.2;4.0;53072.0;9.0;12.0;15.0;70.14;29.86;0;0.0
Mai;40348;1.0;16.0;9.0;3.9;362257.0;6.0;9.0;12.0;56.11;43.89;0;0.0
Juin;17094;1.0;16.0;9.6;3.5;164552.0;7.0;9.0;12.0;60.16;39.84;0;0.0
Juil;28163;0.0;16.0;8.6;4.2;241297.0;6.0;9.0;12.0;53.55;46.45;1015;3.604019458154316
Aout;39378;0.0;16.0;9.3;4.1;364951.0;6.0;9.0;13.0;57.92;42.08;115;0.29204124130224995
Sept;5239;1.0;16.0;9.8;4.2;51200.0;7.0;10.0;14.0;61.08;38.92;0;0.0
Oct;26797;0.0;16.0;11.0;4.5;294929.0;8.0;12.0;15.0;68.79;31.209999999999994;70;0.2612232712617084
Nov;42300;1.0;16.0;9.9;4.1;417184.0;7.0;10.0;14.0;61.64;38.36;0;0.0
Dec;43197;2.0;16.0;11.0;2.8;476211.0;9.0;11.0;13.0;68.9;31.099999999999994;0;0.0
