Mois;nb_data;min;max;mean;std;sum;Q1;median;Q3;taux_dispo;taux_occ;penurie;taux_penurie
Janv;38212;0.0;13.0;4.6;3.2;176935.0;2.0;4.0;7.0;28.94;71.06;1746;4.569245263268083
Fev;40315;0.0;10.0;4.3;2.4;175225.0;2.0;4.0;7.0;27.16;72.84;353;0.8756046136673695
Mars;20928;0.0;12.0;4.6;2.9;96100.0;2.0;4.0;7.0;28.7;71.3;952;4.548929663608563
Avril;4729;0.0;13.0;7.9;3.6;37457.0;7.0;8.0;10.0;49.5;50.5;557;11.778388665679849
Mai;40348;0.0;13.0;4.7;3.0;191202.0;2.0;4.0;6.0;29.62;70.38;2152;5.333597700009913
Juin;17094;0.0;8.0;2.7;2.0;46758.0;1.0;2.0;4.0;17.1;82.9;1848;10.81081081081081
Juil;28163;0.0;11.0;3.2;3.0;89551.0;1.0;2.0;4.0;19.87;80.13;2815;9.995384014487094
Aout;39378;0.0;11.0;3.3;2.4;128557.0;1.0;3.0;5.0;20.4;79.6;3798;9.644979430138656
Sept;5239;1.0;14.0;8.0;3.8;42078.0;6.0;9.0;10.0;50.2;49.8;0;0.0
Oct;26797;0.0;15.0;5.4;3.6;143914.0;3.0;5.0;8.0;33.57;66.43;1747;6.519386498488637
Nov;42303;0.0;16.0;6.1;4.2;259527.0;3.0;5.0;8.0;38.34;61.66;1131;2.6735692504077724
Dec;43197;0.0;11.0;4.3;2.4;185506.0;2.0;4.0;6.0;26.84;73.16;253;0.5856888209829386
