Mois;nb_data;min;max;mean;std;sum;Q1;median;Q3;taux_dispo;taux_occ;penurie;taux_penurie
Janv;38212;0.0;7.0;3.2;1.5;123967.0;2.0;3.0;4.0;40.55;59.45;453;1.1854914686485922
Fev;40315;0.0;8.0;2.9;1.8;117216.0;2.0;2.0;4.0;36.34;63.66;2144;5.318119806523627
Mars;20928;0.0;5.0;2.3;1.1;48650.0;1.0;3.0;3.0;29.06;70.94;796;3.8035168195718656
Avril;4729;1.0;8.0;4.6;1.6;21831.0;4.0;5.0;6.0;57.71;42.29;0;0.0
Mai;40348;0.0;8.0;3.9;2.0;158180.0;2.0;4.0;6.0;49.0;51.0;793;1.9654010112025377
Juin;17094;2.0;8.0;5.7;1.6;97154.0;5.0;6.0;7.0;71.04;28.959999999999994;0;0.0
Juil;28163;0.0;8.0;3.5;2.1;97571.0;2.0;3.0;4.0;43.31;56.69;782;2.7766928239179065
Aout;39378;0.0;7.0;2.9;1.7;114029.0;2.0;3.0;4.0;36.2;63.8;4676;11.874650820254965
Sept;5239;0.0;4.0;1.8;1.1;9351.0;1.0;2.0;2.0;22.31;77.69;864;16.491696888719222
Oct;26797;0.0;8.0;4.7;1.7;124614.0;4.0;5.0;6.0;58.13;41.87;132;0.4925924543792215
Nov;42304;0.0;8.0;3.6;1.5;152996.0;3.0;3.0;5.0;45.21;54.79;919;2.1723714069591527
Dec;43197;1.0;8.0;4.2;1.7;182064.0;3.0;4.0;5.0;52.68;47.32;0;0.0
