Mois;nb_data;min;max;mean;std;sum;Q1;median;Q3;taux_dispo;taux_occ;penurie;taux_penurie
Janv;38212;0.0;8.0;3.4;2.3;129430.0;2.0;3.0;5.0;42.34;57.66;3946;10.326598974144249
Fev;40315;0.0;8.0;2.7;2.0;108540.0;1.0;2.0;4.0;33.65;66.35;5215;12.935631898796974
Mars;20928;0.0;8.0;3.8;2.4;80288.0;2.0;4.0;6.0;47.95;52.05;1646;7.865061162079511
Avril;4729;0.0;8.0;3.5;2.4;16535.0;1.0;3.0;6.0;43.71;56.29;640;13.533516599703955
Mai;40348;0.0;8.0;3.1;2.1;126657.0;2.0;3.0;5.0;39.24;60.76;4388;10.875384157826906
Juin;17094;0.0;8.0;3.2;2.0;54238.0;1.0;3.0;5.0;39.66;60.34;1762;10.307710307710307
Juil;28163;0.0;8.0;3.2;2.2;91394.0;1.0;3.0;5.0;40.56;59.44;1990;7.06600859283457
Aout;39378;0.0;8.0;4.9;2.3;194876.0;3.0;5.0;7.0;61.86;38.14;544;1.3814820458123827
Sept;5239;0.0;7.0;4.3;1.8;22592.0;3.0;4.0;6.0;53.9;46.1;308;5.878984539034167
Oct;26797;0.0;8.0;2.4;1.9;65138.0;1.0;2.0;3.0;30.38;69.62;3055;11.40052991006456
Nov;42300;0.0;8.0;3.4;2.3;142940.0;1.0;3.0;5.0;42.24;57.76;3124;7.385342789598109
Dec;43197;0.0;8.0;3.4;1.8;146804.0;2.0;3.0;5.0;42.48;57.52;739;1.7107669514086625
