Mois;nb_data;min;max;mean;std;sum;Q1;median;Q3;taux_dispo;taux_occ;penurie;taux_penurie
Janv;38212;0.0;8.0;2.5;2.2;96431.0;1.0;2.0;4.0;31.54;68.46000000000001;7428;19.43891971108552
Fev;40315;0.0;8.0;3.5;1.9;141409.0;2.0;3.0;5.0;43.85;56.15;2358;5.848939600644922
Mars;20928;0.0;8.0;5.0;2.4;105208.0;3.0;5.0;7.0;62.84;37.16;744;3.555045871559633
Avril;4729;1.0;8.0;3.9;1.4;18343.0;3.0;3.0;5.0;48.49;51.51;0;0.0
Mai;40348;0.0;8.0;3.0;2.2;121469.0;1.0;3.0;5.0;37.63;62.37;5620;13.928819272330722
Juin;17094;0.0;8.0;2.6;2.2;43876.0;1.0;2.0;4.0;32.08;67.92;2308;13.501813501813501
Juil;28163;0.0;8.0;2.8;2.1;78170.0;1.0;2.0;4.0;34.7;65.3;3511;12.466711642935767
Aout;39378;0.0;7.0;2.6;1.5;103767.0;2.0;3.0;4.0;32.94;67.06;2500;6.348722637005435
Sept;5239;1.0;1.0;1.0;0.0;5239.0;1.0;1.0;1.0;12.5;87.5;0;0.0
Oct;26797;0.0;8.0;4.3;2.3;115509.0;3.0;4.0;6.0;53.88;46.12;910;3.3959025264022094
Nov;42303;0.0;8.0;3.9;2.2;165196.0;2.0;4.0;6.0;48.81;51.19;1327;3.1368933645367942
Dec;43197;0.0;8.0;3.7;2.1;160990.0;2.0;4.0;5.0;46.59;53.41;2230;5.162395536727087
