Mois;nb_data;min;max;mean;std;sum;Q1;median;Q3;taux_dispo;taux_occ;penurie;taux_penurie
Janv;38212;0.0;8.0;2.5;2.0;94246.0;1.0;2.0;4.0;30.83;69.17;7269;19.022820056526747
Fev;40315;0.0;8.0;4.0;2.4;159463.0;2.0;4.0;6.0;49.44;50.56;2724;6.756790276571996
Mars;20928;0.0;7.0;1.8;2.1;37739.0;0.0;1.0;3.0;22.54;77.46000000000001;7903;37.76280581039755
Avril;4729;0.0;8.0;4.4;2.3;20585.0;2.0;5.0;6.0;54.41;45.59;296;6.259251427363079
Mai;40348;0.0;8.0;4.0;2.1;160150.0;3.0;4.0;5.0;49.62;50.38;2320;5.749975215624071
Juin;17094;0.0;8.0;4.7;2.0;80367.0;3.0;5.0;6.0;58.77;41.23;363;2.1235521235521233
Juil;28163;0.0;8.0;3.0;1.9;85641.0;2.0;3.0;4.0;38.01;61.99;1158;4.111777864574086
Aout;39378;0.0;8.0;3.0;2.2;116843.0;1.0;3.0;5.0;37.09;62.91;6495;16.49398141094012
Sept;5239;0.0;5.0;0.9;1.3;4866.0;0.0;0.0;2.0;11.61;88.39;2763;52.73907234205001
Oct;26797;2.0;8.0;6.4;1.2;170174.0;5.0;6.0;7.0;79.38;20.620000000000005;0;0.0
Nov;42300;2.0;8.0;5.6;1.8;238116.0;4.0;6.0;7.0;70.37;29.629999999999995;0;0.0
Dec;43197;2.0;8.0;5.7;1.7;244155.0;4.0;6.0;7.0;70.65;29.349999999999994;0;0.0
