Mois;nb_data;min;max;mean;std;sum;Q1;median;Q3;taux_dispo;taux_occ;penurie;taux_penurie
Janv;38212;0.0;8.0;2.0;2.0;76105.0;0.0;1.0;3.0;24.9;75.1;9894;25.89238982518581
Fev;40315;0.0;7.0;1.9;1.9;78570.0;0.0;2.0;3.0;24.36;75.64;12862;31.90375790648642
Mars;20928;0.0;8.0;3.2;2.2;66960.0;1.0;3.0;4.0;39.99;60.01;2347;11.214640672782874
Avril;4729;0.0;7.0;2.3;1.9;10752.0;1.0;2.0;4.0;28.42;71.58;1143;24.17001480228378
Mai;40348;0.0;8.0;2.4;1.7;98308.0;1.0;2.0;3.0;30.46;69.53999999999999;2889;7.160206206007732
Juin;17094;0.0;8.0;2.7;2.0;45607.0;1.0;2.0;4.0;33.35;66.65;2860;16.73101673101673
Juil;28163;0.0;8.0;3.1;1.9;88406.0;1.0;3.0;5.0;39.24;60.76;749;2.6595178070518055
Aout;39378;0.0;8.0;2.8;2.0;110996.0;1.0;2.0;4.0;35.23;64.77000000000001;3986;10.122403372441465
Sept;5239;0.0;8.0;3.4;1.9;17597.0;2.0;3.0;4.0;41.99;58.01;6;0.11452567283832793
Oct;26797;0.0;8.0;3.2;2.1;84659.0;1.0;3.0;5.0;39.49;60.51;2293;8.556928014329962
Nov;42300;0.0;8.0;3.9;2.3;164419.0;2.0;4.0;6.0;48.59;51.41;2794;6.605200945626477
Dec;43197;0.0;8.0;4.2;2.1;183412.0;3.0;4.0;6.0;53.07;46.93;1235;2.858994837604463
