Mois;nb_data;min;max;mean;std;sum;Q1;median;Q3;taux_dispo;taux_occ;penurie;taux_penurie
Janv;38212;0.0;16.0;8.6;3.7;327694.0;6.0;9.0;11.0;53.6;46.4;346;0.9054747199832514
Fev;40315;0.0;16.0;9.6;4.1;386244.0;6.0;10.0;13.0;59.88;40.12;294;0.729257100334863
Mars;20928;0.0;16.0;8.3;4.1;172765.0;5.0;8.0;12.0;51.6;48.4;618;2.9529816513761467
Avril;4729;4.0;15.0;9.9;3.8;46676.0;7.0;11.0;13.0;61.69;38.31;0;0.0
Mai;40348;0.0;16.0;7.9;4.6;320099.0;4.0;8.0;11.0;49.58;50.42;1347;3.338455437692079
Juin;17094;1.0;16.0;10.5;4.0;179566.0;8.0;11.0;14.0;65.65;34.349999999999994;0;0.0
Juil;28163;0.0;15.0;6.5;3.9;183539.0;4.0;7.0;9.0;40.73;59.27;2867;10.180023435003372
Aout;39378;0.0;16.0;8.3;3.9;326479.0;6.0;8.0;12.0;51.82;48.18;1556;3.9514449692721825
Sept;5239;1.0;16.0;11.0;3.5;57530.0;9.0;12.0;14.0;68.63;31.370000000000005;0;0.0
Oct;26797;2.0;16.0;10.0;4.4;268412.0;6.0;10.0;15.0;62.6;37.4;0;0.0
Nov;42304;0.0;16.0;11.3;3.6;480009.0;9.0;12.0;14.0;70.92;29.08;208;0.49167927382753407
Dec;43197;1.0;16.0;10.5;3.3;453450.0;8.0;10.0;13.0;65.61;34.39;0;0.0
