Mois;nb_data;min;max;mean;std;sum;Q1;median;Q3;taux_dispo;taux_occ;penurie;taux_penurie
Janv;38212;0.0;8.0;6.0;2.0;228679.0;5.0;6.0;8.0;74.81;25.189999999999998;1342;3.5119857636344607
Fev;40315;0.0;8.0;3.7;2.3;150467.0;2.0;3.0;6.0;46.65;53.35;2898;7.188391417586507
Mars;20928;0.0;8.0;2.5;2.3;51614.0;0.0;2.0;4.0;30.83;69.17;5505;26.304472477064223
Avril;4729;0.0;8.0;4.5;2.1;21071.0;3.0;5.0;6.0;55.7;44.3;83;1.7551279340241068
Mai;40348;0.0;8.0;4.0;2.0;162298.0;3.0;4.0;5.0;50.28;49.72;2056;5.095667691087538
Juin;17094;0.0;8.0;3.1;2.2;52663.0;1.0;3.0;5.0;38.51;61.49;1356;7.932607932607932
Juil;28163;1.0;8.0;3.9;1.8;110671.0;3.0;4.0;5.0;49.12;50.88;0;0.0
Aout;39378;0.0;8.0;3.8;2.0;148808.0;2.0;3.0;5.0;47.24;52.76;737;1.8716034333892022
Sept;5239;0.0;8.0;5.2;1.9;27444.0;4.0;5.0;7.0;65.48;34.519999999999996;59;1.1261691162435579
Oct;26797;1.0;8.0;5.6;1.9;148990.0;4.0;6.0;7.0;69.5;30.5;0;0.0
Nov;42301;0.0;8.0;4.6;2.3;194018.0;3.0;5.0;7.0;57.33;42.67;760;1.7966478333845535
Dec;43197;0.0;8.0;4.1;2.0;178074.0;3.0;4.0;6.0;51.53;48.47;325;0.7523670625274903
